variant,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_mode,morphology_closing_radius,morphology_dilation_radius,morphology_base_dilation_radius,morphology_max_dilation_radius,morphology_support_percentile,morphology_support_factor,morphology_local_max_radius,vesselness_sigmas,vesselness_alpha,vesselness_beta,vesselness_gamma,rg_min_vesselness_fraction,rg_threshold_divisor,rg_comparison_window,rg_relaxed_floor_factor,rg_neighborhood,rg_reference_scope,rg_reference_radius,rg_reference_percentile,rg_branch_overrides,fc_alpha,fc_sigma_hu,fc_candidate_min_vesselness,fc_vesselness_floor,fc_vesselness_weight,fc_seed_search_radius,fc_max_seeds_per_ostium,fc_max_candidate_voxels,fc_max_processed_voxels,fc_grow_each_ostium_separately,fc_branch_overrides,recovery
rg_gamma65_floor072__conditioned_p10_f025,rg_gamma65_floor072,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.072,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_floor072__conditioned_p10_f050,rg_gamma65_floor072,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.072,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_floor084__current_c3_d2,rg_gamma65_floor084,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.084,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_floor084__conditioned_p10_f025,rg_gamma65_floor084,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.084,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_floor084__conditioned_p10_f050,rg_gamma65_floor084,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.084,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_no_smooth__current_c3_d2,rg_gamma65_no_smooth,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_no_smooth__conditioned_p10_f025,rg_gamma65_no_smooth,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_no_smooth__conditioned_p10_f050,rg_gamma65_no_smooth,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_neighborhood18__current_c3_d2,rg_gamma65_neighborhood18,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,18,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_neighborhood18__conditioned_p10_f025,rg_gamma65_neighborhood18,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,18,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_neighborhood18__conditioned_p10_f050,rg_gamma65_neighborhood18,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,18,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
fc_floor020__current_c3_d2,fc_floor020,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020__conditioned_p10_f025,fc_floor020,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020__conditioned_p10_f050,fc_floor020,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020_alpha018__current_c3_d2,fc_floor020_alpha018,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.18,100,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020_alpha018__conditioned_p10_f025,fc_floor020_alpha018,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.18,100,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020_alpha018__conditioned_p10_f050,fc_floor020_alpha018,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.18,100,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020_sigma090__current_c3_d2,fc_floor020_sigma090,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,90,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020_sigma090__conditioned_p10_f025,fc_floor020_sigma090,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,90,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020_sigma090__conditioned_p10_f050,fc_floor020_sigma090,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,90,0.02,0.02,0.9,2,4,500000,500000,False,null,null
