variant,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_mode,morphology_closing_radius,morphology_dilation_radius,morphology_base_dilation_radius,morphology_max_dilation_radius,morphology_support_percentile,morphology_support_factor,morphology_local_max_radius,vesselness_sigmas,vesselness_alpha,vesselness_beta,vesselness_gamma,rg_min_vesselness_fraction,rg_threshold_divisor,rg_comparison_window,rg_relaxed_floor_factor,rg_neighborhood,rg_reference_scope,rg_reference_radius,rg_reference_percentile,rg_branch_overrides,fc_alpha,fc_sigma_hu,fc_candidate_min_vesselness,fc_vesselness_floor,fc_vesselness_weight,fc_seed_search_radius,fc_max_seeds_per_ostium,fc_max_candidate_voxels,fc_max_processed_voxels,fc_grow_each_ostium_separately,fc_branch_overrides,recovery
fc_floor020_neighborhood18__conditioned_p10_f025,fc_floor020_neighborhood18,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020_neighborhood18__conditioned_p10_f050,fc_floor020_neighborhood18,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,null,null
rg_gamma65_branch_local_p90__current_c3_d2,rg_gamma65_branch_local_p90,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {""reference_percentile"": 90.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}, ""right"": {""reference_percentile"": 90.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_branch_local_p90__conditioned_p10_f025,rg_gamma65_branch_local_p90,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {""reference_percentile"": 90.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}, ""right"": {""reference_percentile"": 90.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_branch_local_p90__conditioned_p10_f050,rg_gamma65_branch_local_p90,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {""reference_percentile"": 90.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}, ""right"": {""reference_percentile"": 90.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_branch_local_p95__current_c3_d2,rg_gamma65_branch_local_p95,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {""reference_percentile"": 95.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}, ""right"": {""reference_percentile"": 95.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_branch_local_p95__conditioned_p10_f025,rg_gamma65_branch_local_p95,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {""reference_percentile"": 95.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}, ""right"": {""reference_percentile"": 95.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_branch_local_p95__conditioned_p10_f050,rg_gamma65_branch_local_p95,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {""reference_percentile"": 95.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}, ""right"": {""reference_percentile"": 95.0, ""reference_radius"": 3, ""reference_scope"": ""ostia_local""}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_left_permissive__current_c3_d2,rg_gamma65_left_permissive,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {""relaxed_floor_factor"": 0.9}, ""right"": {}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_left_permissive__conditioned_p10_f025,rg_gamma65_left_permissive,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {""relaxed_floor_factor"": 0.9}, ""right"": {}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_left_permissive__conditioned_p10_f050,rg_gamma65_left_permissive,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {""relaxed_floor_factor"": 0.9}, ""right"": {}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_right_permissive__current_c3_d2,rg_gamma65_right_permissive,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {}, ""right"": {""relaxed_floor_factor"": 0.9}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_right_permissive__conditioned_p10_f025,rg_gamma65_right_permissive,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {}, ""right"": {""relaxed_floor_factor"": 0.9}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_right_permissive__conditioned_p10_f050,rg_gamma65_right_permissive,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,"{""left"": {}, ""right"": {""relaxed_floor_factor"": 0.9}}",0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
fc_left_permissive__current_c3_d2,fc_left_permissive,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,"{""left"": {""vesselness_floor"": 0.022}, ""right"": {}}",null
fc_left_permissive__conditioned_p10_f025,fc_left_permissive,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,"{""left"": {""vesselness_floor"": 0.022}, ""right"": {}}",null
fc_left_permissive__conditioned_p10_f050,fc_left_permissive,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,"{""left"": {""vesselness_floor"": 0.022}, ""right"": {}}",null
fc_right_permissive__current_c3_d2,fc_right_permissive,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,"{""left"": {}, ""right"": {""vesselness_floor"": 0.022}}",null
fc_right_permissive__conditioned_p10_f025,fc_right_permissive,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,"{""left"": {}, ""right"": {""vesselness_floor"": 0.022}}",null
fc_right_permissive__conditioned_p10_f050,fc_right_permissive,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,"{""left"": {}, ""right"": {""vesselness_floor"": 0.022}}",null
