variant,images,valid_dice_images,ostia_success_rate,mean_dice,mean_dice_before_morphology,median_dice_before_morphology,mean_dice_after_morphology,mean_dice_morphology_delta,median_dice_morphology_delta,mean_recall_before_morphology,mean_recall_after_morphology,mean_precision_before_morphology,mean_precision_after_morphology,median_dice,std_dice,mean_dice_success_ostia,zero_dice_rate,processed_limit_hit_rate,candidate_limit_hit_rate,error_count,mean_vesselness_seconds,mean_segmentation_seconds,mean_morphology_seconds,mean_recovery_triggered_branches,mean_recovery_accepted_branches,mean_recovery_added_voxels,mean_conditioned_acceptance_rate
fc_floor020_sigma090__conditioned_p10_f050,30,30,0.9333333333333333,0.6074770954326867,0.34694661315627917,0.3671076061216534,0.6074770954326867,0.26053048227640757,0.2737041487151227,0.2206920070872424,0.5758178608569111,0.8552632113082381,0.6723176040549782,0.650160225968532,0.1490941774156463,0.6339436854256985,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.6469384385331978,2.165202116400087,0.0,0.0,0.0,0.776248058662145
fc_floor020_sigma090__conditioned_p10_f025,30,30,0.9333333333333333,0.6074334238803502,0.34694661315627917,0.3671076061216534,0.6074334238803502,0.26048681072407104,0.27094192385692306,0.2206920070872424,0.5855211153048919,0.8552632113082381,0.6596505288317158,0.6485612859531699,0.1486024253249211,0.633802141960105,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.6469384385331978,2.1637318173666853,0.0,0.0,0.0,0.8494267494381975
fc_right_permissive__conditioned_p10_f050,30,30,0.9333333333333333,0.6071919920151178,0.35202257808712983,0.37546133363488987,0.6071919920151178,0.25516941392798786,0.2662395687793664,0.22502236152404817,0.5800142897607464,0.8529445460417773,0.6666634159875648,0.6491956306986907,0.14911180475022257,0.63365395329604,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.789360347766645,2.163600334766458,0.0,0.0,0.0,0.7738764845094133
fc_floor020__conditioned_p10_f050,30,30,0.9333333333333333,0.6070971850249358,0.3505393629024897,0.37050174841939726,0.6070971850249358,0.2565578221224462,0.26957160452440354,0.22361083931151418,0.577315915193979,0.8553032863154701,0.669495085537458,0.6492108998505297,0.148962595201218,0.6335458967013344,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.651293989833448,2.1615031697665774,0.0,0.0,0.0,0.7748186861124103
fc_left_permissive__conditioned_p10_f050,30,30,0.9333333333333333,0.6068336899079511,0.35112785920289863,0.3710284562045477,0.6068336899079511,0.2557058307050525,0.2685844814065633,0.22414453165380588,0.5776657980499716,0.8546460587721559,0.6684077013844527,0.6480146904371722,0.14897932094708757,0.6332888449829255,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.7775881958665196,2.1601366867333733,0.0,0.0,0.0,0.7745694093178427
fc_floor020__conditioned_p10_f025,30,30,0.9333333333333333,0.6068322895681991,0.3505393629024897,0.37050174841939726,0.6068322895681991,0.25629292666570935,0.2671943311840427,0.22361083931151418,0.5868281661116206,0.8553032863154701,0.6567265103785436,0.6475733334816559,0.14838564474529425,0.6331873805000969,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.651293989833448,2.167101845833228,0.0,0.0,0.0,0.8479350945748175
fc_right_permissive__conditioned_p10_f025,30,30,0.9333333333333333,0.6068148468807322,0.35202257808712983,0.37546133363488987,0.6068148468807322,0.2547922687936022,0.2646617422439978,0.22502236152404817,0.5895324039645425,0.8529445460417773,0.6538653624409492,0.6474599712215159,0.14850684270687534,0.6331761883140885,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.789360347766645,2.1675287985667335,0.0,0.0,0.0,0.847095392417495
fc_floor020_sigma110__conditioned_p10_f050,30,30,0.9333333333333333,0.6065136959048497,0.35366504857522535,0.3745204501581202,0.6065136959048497,0.2528486473296242,0.26400126124442,0.22623346443962994,0.5787278602764592,0.8546696131661018,0.6665235784842938,0.6490284436718421,0.14868982880843928,0.6329282751162364,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.6588765697334868,2.161958244366754,0.0,0.0,0.0,0.7728307707961437
fc_left_permissive__conditioned_p10_f025,30,30,0.9333333333333333,0.6065395858051232,0.35112785920289863,0.3710284562045477,0.6065395858051232,0.2554117266022248,0.2661918913814554,0.22414453165380588,0.5871601259175205,0.8546460587721559,0.655656835602903,0.6463045128961531,0.1483994030643069,0.6328950330770168,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.7775881958665196,2.1597954843665623,0.0,0.0,0.0,0.8476347806273716
fc_floor020_sigma110__conditioned_p10_f025,30,30,0.9333333333333333,0.6060163641329371,0.35366504857522535,0.3745204501581202,0.6060163641329371,0.25235131555771173,0.2622662189406766,0.22623346443962994,0.5880528180182544,0.8546696131661018,0.6536191722785851,0.6468840474820525,0.14805821815668932,0.6323264257060631,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.6588765697334868,2.1658187052664895,0.0,0.0,0.0,0.8458862533368471
rg_gamma65_no_smooth__conditioned_p10_f025,30,30,0.9333333333333333,0.6058817134908612,0.2944401488864806,0.32319140504615906,0.6058817134908612,0.31144156460438055,0.3309839658748356,0.1801005199770029,0.5626515887922239,0.8546568796632099,0.6898858026572358,0.6522060614967315,0.15396930158900002,0.6322312800181502,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05543863013347921,2.170777273066627,0.0,0.0,0.0,0.8680702455463024
rg_gamma65_switch1000__conditioned_p10_f025,30,30,0.9333333333333333,0.6058491567995592,0.2952388605474929,0.3241001800879774,0.6058491567995592,0.3106102962520664,0.3301816373253218,0.18070822428742872,0.5631606353594961,0.8544806430506428,0.6891888879882051,0.6523219902346996,0.15405592538254204,0.6321989256119958,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05615654556674296,2.1678642532000896,0.0,0.0,0.0,0.8677380039519192
rg_gamma65_right_permissive__conditioned_p10_f025,30,30,0.9333333333333333,0.6058170811443152,0.2990384413885811,0.32813784940514756,0.6058170811443152,0.3067786397557341,0.32585175014308726,0.18395936266321075,0.5690292641013757,0.849647192221168,0.6827607970402911,0.6519652336046222,0.15434675510490087,0.6321663434362893,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.07366821223325436,2.1649947031668186,0.0,0.0,0.0,0.8654957940519519
rg_gamma65_current__conditioned_p10_f025,30,30,0.9333333333333333,0.6058062418035705,0.2949744298699994,0.3238461011342386,0.6058062418035705,0.3108318119335712,0.3305311894299333,0.18051064914179574,0.5629661474023605,0.8545010881219075,0.6893650392864428,0.6521531227202495,0.154047242067506,0.632153621543854,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05608653440006795,2.170604288766602,0.0,0.0,0.0,0.8678340000779248
rg_gamma65_switch4000__conditioned_p10_f025,30,30,0.9333333333333333,0.6055801188409986,0.2944776160039665,0.32310701203366166,0.6055801188409986,0.3111025028370321,0.3310168773546859,0.18012760714113346,0.5622746854287107,0.8546463252702351,0.6897141278260509,0.6521586074642677,0.15392618180699147,0.631910238482856,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05555710209994989,2.1670159670999056,0.0,0.0,0.0,0.8679687069116845
rg_gamma65_left_permissive__conditioned_p10_f025,30,30,0.9333333333333333,0.6054474347052385,0.29729643547326473,0.32581124360833374,0.6054474347052385,0.30815099923197364,0.3272290632258581,0.18260592275422022,0.5674133854012867,0.849878265846865,0.6836525394794538,0.6561374417528858,0.15418149535596426,0.6318617723171176,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.07392682310019154,2.1659539805666705,0.0,0.0,0.0,0.8675025013544216
rg_gamma65_relax094__conditioned_p10_f025,30,30,0.9333333333333333,0.6050776916366303,0.2976825760785689,0.3271424077929551,0.6050776916366303,0.3073951155580615,0.3266841619816197,0.18292262939332904,0.5666266282163294,0.8499136564425972,0.683982244619053,0.6524436210269693,0.15420631574189397,0.6313625892462319,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05642918679999032,2.163267815633511,0.0,0.0,0.0,0.865763599049613
rg_gamma65_floor084__conditioned_p10_f025,30,30,0.9333333333333333,0.6045010223999765,0.284931877770649,0.31234562578457625,0.6045010223999765,0.3195691446293277,0.33719671214781166,0.1720309513880795,0.544604827335985,0.8818779926572453,0.7173257584887747,0.6533947380383256,0.15448833388448263,0.6307178550839853,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05202360009992238,2.1601479573331743,0.0,0.0,0.0,0.8415260283232674
rg_gamma65_right_permissive__conditioned_p10_f050,30,30,0.9333333333333333,0.6042375638126665,0.2990384413885811,0.32813784940514756,0.6042375638126665,0.3051991224240854,0.3235755624030946,0.18395936266321075,0.5581589607519309,0.849647192221168,0.6945154470717408,0.6521678070182085,0.15454970889599723,0.6305996990978976,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.07366821223325436,2.159794806833452,0.0,0.0,0.0,0.7910336850065105
rg_gamma65_floor072__conditioned_p10_f025,30,30,0.9333333333333333,0.604040832287717,0.3026204249993091,0.3325636099278211,0.604040832287717,0.3014204072884079,0.3216690501018723,0.18714669096077216,0.5740412832729276,0.8413266508128446,0.6722806988289916,0.6510484021536774,0.1534537445478273,0.630522832372146,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.058383234600084204,2.170607319300052,0.0,0.0,0.0,0.8652784181173694
rg_gamma65_no_smooth__conditioned_p10_f050,30,30,0.9333333333333333,0.6039640921820791,0.2944401488864806,0.32319140504615906,0.6039640921820791,0.3095239432955986,0.3280716979502163,0.1801005199770029,0.5517201167847186,0.8546568796632099,0.7014894422704061,0.6523888906670061,0.15406720922761777,0.6303041954225456,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05543863013347921,2.161827377166416,0.0,0.0,0.0,0.7938313988109733
rg_gamma65_switch1000__conditioned_p10_f050,30,30,0.9333333333333333,0.603962266740677,0.2952388605474929,0.3241001800879774,0.603962266740677,0.30872340619318417,0.3272269730005156,0.18070822428742872,0.5522600785328639,0.8544806430506428,0.7007965776505806,0.6526550250224548,0.15415069012200544,0.6303023757371727,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05615654556674296,2.164551811066819,0.0,0.0,0.0,0.7935744355367571
rg_gamma65_current__conditioned_p10_f050,30,30,0.9333333333333333,0.6039125702792095,0.2949744298699994,0.3238461011342386,0.6039125702792095,0.30893814040921014,0.3276337411155854,0.18051064914179574,0.5520573647150687,0.8545010881219075,0.7009753733622016,0.652434211560394,0.1541423443672634,0.6302509362063199,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05608653440006795,2.161034193133431,0.0,0.0,0.0,0.7936565950009501
rg_gamma65_left_permissive__conditioned_p10_f050,30,30,0.9333333333333333,0.603782252766645,0.29729643547326473,0.32581124360833374,0.603782252766645,0.30648581729338015,0.32519587450647935,0.18260592275422022,0.5565723707914744,0.849878265846865,0.6952886707521857,0.6576010992166339,0.15434866433678443,0.6301970573541287,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.07392682310019154,2.1668843637666213,0.0,0.0,0.0,0.7933996571018423
rg_gamma65_switch4000__conditioned_p10_f050,30,30,0.9333333333333333,0.6036605694926415,0.2944776160039665,0.32310701203366166,0.6036605694926415,0.30918295348867486,0.328050725913523,0.18012760714113346,0.5513566975347575,0.8546463252702351,0.7013102193723854,0.6523963033905775,0.15401459650983465,0.6299805198217666,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05555710209994989,2.161485705999924,0.0,0.0,0.0,0.7937840576628671
rg_gamma65_relax094__conditioned_p10_f050,30,30,0.9333333333333333,0.6033913134192849,0.2976825760785689,0.3271424077929551,0.6033913134192849,0.30570873734071596,0.3239305532824424,0.18292262939332904,0.555755400122017,0.8499136564425972,0.6956670841257374,0.6528864991419534,0.15432283272952121,0.6296800836708346,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05642918679999032,2.160270250366678,0.0,0.0,0.0,0.791383661850661
fc_floor020_weight088__conditioned_p10_f050,30,30,0.9333333333333333,0.6032038322392878,0.3526133436199103,0.3778572644452812,0.6032038322392878,0.2505904886193773,0.2646908845435567,0.2268419435973936,0.5839180533066977,0.836565581585965,0.6531460195432965,0.6471201580423246,0.1492010041042925,0.6294192190850249,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.7081610891998935,2.1648668243000126,0.0,0.0,0.0,0.7708560607070527
rg_gamma65_floor072__conditioned_p10_f050,30,30,0.9333333333333333,0.6027157561355315,0.3026204249993091,0.3325636099278211,0.6027157561355315,0.3000953311362223,0.3192164176051464,0.18714669096077216,0.5632969064454795,0.8413266508128446,0.6838951870411455,0.6523041367468464,0.15373015272329782,0.6292167531815501,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.058383234600084204,2.168270157666454,0.0,0.0,0.0,0.7911851342100531
rg_gamma65_neighborhood18__conditioned_p10_f025,30,30,0.9333333333333333,0.6028233482895327,0.2905647704408026,0.3175290285193823,0.6028233482895327,0.31225857784872996,0.33056033961685205,0.17684064483055548,0.5516755020891994,0.8698040657033286,0.7045606847671901,0.6573121670645223,0.15533209750099924,0.6289403915217185,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.04246278669988897,2.16432306446671,0.0,0.0,0.0,0.8710607937349522
fc_floor020_neighborhood18__conditioned_p10_f050,30,30,0.9333333333333333,0.6028160594418246,0.34370782371077624,0.3655830387856502,0.6028160594418246,0.25910823573104824,0.2702051685183855,0.21796875405411392,0.5657770561965455,0.8634492958815371,0.6802532603003775,0.653829501693432,0.15193861365035394,0.6289332213657259,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.1946550530999653,2.159792445099962,0.0,0.0,0.0,0.773944530536071
fc_floor020_neighborhood18__conditioned_p10_f025,30,30,0.9333333333333333,0.6027946432261041,0.34370782371077624,0.3655830387856502,0.6027946432261041,0.2590868195153278,0.26940160179620093,0.21796875405411392,0.5752180250605478,0.8634492958815371,0.6673528373295194,0.6508149947837427,0.15133231763117186,0.6288314730547685,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.1946550530999653,2.1678975373999796,0.0,0.0,0.0,0.8470582923051703
fc_floor020_weight088__conditioned_p10_f025,30,30,0.9333333333333333,0.6026990561626145,0.3526133436199103,0.3778572644452812,0.6026990561626145,0.25008571254270406,0.26191350348564824,0.2268419435973936,0.593436213215178,0.836565581585965,0.6406491916002411,0.6451388102187436,0.14860764077996516,0.6288040580872499,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.7081610891998935,2.1647181300665883,0.0,0.0,0.0,0.8435509988450299
rg_gamma65_no_smooth__current_c3_d2,30,30,0.9333333333333333,0.6025710896725677,0.2944401488864806,0.32319140504615906,0.6025710896725677,0.3081309407860871,0.3259696472294261,0.1801005199770029,0.5760867166432642,0.8546568796632099,0.6633042121409538,0.6468116842575045,0.15256044256920714,0.6285554050891342,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05543863013347921,1.7149652300998242,0.0,0.0,0.0,
fc_floor020_alpha018__conditioned_p10_f025,30,30,0.9333333333333333,0.6026329990113901,0.32674257260569467,0.3553693948147022,0.6026329990113901,0.27589042640569533,0.287982080736918,0.2033433750869716,0.5553575532519301,0.8802402139613417,0.6931732191492501,0.6452887425613216,0.15279319243347736,0.628538928199149,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.4962543998333786,2.167589550499997,0.0,0.0,0.0,0.8505261822739869
rg_gamma65_switch1000__current_c3_d2,30,30,0.9333333333333333,0.6025075974129402,0.2952388605474929,0.3241001800879774,0.6025075974129402,0.30726873686544737,0.3250999414090966,0.18070822428742872,0.5766254266783414,0.8544806430506428,0.6625657105584214,0.6470396021470327,0.15262493377473757,0.6284925289442099,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05615654556674296,1.7114397750333714,0.0,0.0,0.0,
rg_gamma65_current__current_c3_d2,30,30,0.9333333333333333,0.6024651693419557,0.2949744298699994,0.3238461011342386,0.6024651693419557,0.3074907394719563,0.3254888890146161,0.18051064914179574,0.5764143132077005,0.8545010881219075,0.6627389880060738,0.6468177834092089,0.1526183645565141,0.6284471734677693,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05608653440006795,1.715716546566667,0.0,0.0,0.0,
rg_gamma65_floor084__current_c3_d2,30,30,0.9333333333333333,0.6024462234634503,0.284931877770649,0.31234562578457625,0.6024462234634503,0.3175143456928014,0.33318806665096795,0.1720309513880795,0.5577688568881551,0.8818779926572453,0.6911862728992868,0.6482625925592697,0.1526384756447427,0.6283730457369352,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05202360009992238,1.710707752166642,0.0,0.0,0.0,
rg_gamma65_switch4000__current_c3_d2,30,30,0.9333333333333333,0.6022676037354985,0.2944776160039665,0.32310701203366166,0.6022676037354985,0.307789987731532,0.32589383452271525,0.18012760714113346,0.5756997467143676,0.8546463252702351,0.6631059599840822,0.6467642902596058,0.15251550733024055,0.6282350533668554,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05555710209994989,1.7178784007998122,0.0,0.0,0.0,
rg_gamma65_floor084__conditioned_p10_f050,30,30,0.9333333333333333,0.6020582450524696,0.284931877770649,0.31234562578457625,0.6020582450524696,0.31712636728182064,0.3359170975572071,0.1720309513880795,0.5338283984546995,0.8818779926572453,0.7292362101007946,0.6518975769603559,0.15471218589662217,0.6282272684003299,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05202360009992238,2.173246625299968,0.0,0.0,0.0,0.7699419504402255
rg_gamma65_left_permissive__current_c3_d2,30,30,0.9333333333333333,0.6019518241632457,0.29729643547326473,0.32581124360833374,0.6019518241632457,0.30465538868998093,0.3238089620616148,0.18260592275422022,0.5809677115537618,0.849878265846865,0.6572185689341387,0.6490517042894023,0.15273244055779925,0.6279907161028937,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.07392682310019154,1.7140437991,0.0,0.0,0.0,
rg_gamma65_right_permissive__current_c3_d2,30,30,0.9333333333333333,0.6018463094401401,0.2990384413885811,0.32813784940514756,0.6018463094401401,0.3028078680515591,0.32005212997894184,0.18395936266321075,0.5825029256836953,0.849647192221168,0.6556093578563058,0.6462407357436121,0.15262733885504487,0.6277852007750425,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.07366821223325436,1.7126487535667971,0.0,0.0,0.0,
fc_floor020_alpha018__conditioned_p10_f050,30,30,0.9333333333333333,0.6017233212339669,0.32674257260569467,0.3553693948147022,0.6017233212339669,0.2749807486282721,0.28669384357320404,0.2033433750869716,0.5457592361022673,0.8802402139613417,0.7058548471277567,0.6449171118132551,0.15334584367974857,0.6276584464151459,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.4962543998333786,2.1639159827666843,0.0,0.0,0.0,0.777893726723186
fc_floor020_sigma090__current_c3_d2,30,30,0.9333333333333333,0.6015325670790794,0.34694661315627917,0.3671076061216534,0.6015325670790794,0.25458595392280026,0.2660262656235391,0.2206920070872424,0.5995257483866987,0.8552632113082381,0.6301192098726869,0.6406762388039279,0.14623425334449805,0.6274291960436769,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.6469384385331978,1.7101845511332612,0.0,0.0,0.0,
rg_gamma65_relax094__current_c3_d2,30,30,0.9333333333333333,0.6013281906325599,0.2976825760785689,0.3271424077929551,0.6013281906325599,0.30364561455399103,0.3211363649080164,0.18292262939332904,0.5801654152892872,0.8499136564425972,0.6569926868784848,0.646844646486628,0.15259249155764726,0.6272192615481863,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.05642918679999032,1.712099418133342,0.0,0.0,0.0,
rg_gamma65_neighborhood18__conditioned_p10_f050,30,30,0.9333333333333333,0.6007440432695931,0.2905647704408026,0.3175290285193823,0.6007440432695931,0.31017927282879043,0.32845037905178204,0.17684064483055548,0.5409877198040711,0.8698040657033286,0.7164272203681479,0.6583399881380383,0.1555828786805915,0.6268382840706268,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.04246278669988897,2.166744681900066,0.0,0.0,0.0,0.7964179849593035
fc_floor020__current_c3_d2,30,30,0.9333333333333333,0.6006360045208569,0.3505393629024897,0.37050174841939726,0.6006360045208569,0.25009664161836725,0.2598063762434962,0.22361083931151418,0.6007740615457791,0.8553032863154701,0.6269300096536152,0.6397104025554998,0.1459093073021674,0.6264998035203414,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.651293989833448,1.7097640619333105,0.0,0.0,0.0,
fc_right_permissive__current_c3_d2,30,30,0.9333333333333333,0.6003468448416294,0.35202257808712983,0.37546133363488987,0.6003468448416294,0.24832426675449953,0.25810081226544046,0.22502236152404817,0.6035044188943639,0.8529445460417773,0.623933021478689,0.6395755435974992,0.14590774376481744,0.626197313582565,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.789360347766645,1.7076343813667032,0.0,0.0,0.0,
fc_left_permissive__current_c3_d2,30,30,0.9333333333333333,0.6003189388076053,0.35112785920289863,0.3710284562045477,0.6003189388076053,0.24919107960470674,0.25876592910441587,0.22414453165380588,0.6011375537071049,0.8546460587721559,0.625870458863735,0.6384252084783182,0.14591549783066401,0.6261829899922755,0.03333333333333333,0.0,0.6333333333333333,0,0.3908745572667006,1.7775881958665196,1.7089116570000442,0.0,0.0,0.0,
rg_gamma65_neighborhood18__current_c3_d2,30,30,0.9333333333333333,0.6002888751656582,0.2905647704408026,0.3175290285193823,0.6002888751656582,0.30972410472485556,0.3258082333594422,0.17684064483055548,0.564946418101089,0.8698040657033286,0.6782864457003118,0.6499388910801178,0.15352388571887743,0.6260986548586486,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.04246278669988897,1.7139210822330824,0.0,0.0,0.0,
rg_gamma65_floor072__current_c3_d2,30,30,0.9333333333333333,0.5999333432625942,0.3026204249993091,0.3325636099278211,0.5999333432625942,0.2973129182632851,0.3145547740303021,0.18714669096077216,0.5876939138204199,0.8413266508128446,0.6456287481469828,0.6451568624888928,0.15183933107238667,0.6260071115156085,0.03333333333333333,0.0,0.0,0,0.3914321458333688,0.058383234600084204,1.7191860585668717,0.0,0.0,0.0,
