reference,variant,paired_images,mean_dice_delta,median_dice_delta,improved_gt_0_01,worsened_lt_minus_0_01
rg_gamma55_current__current_c3_d2,rg_gamma65_neighborhood18__current_c3_d2,30,0.006620897969754355,-0.00010374470013096992,10,9
rg_gamma55_current__current_c3_d2,rg_gamma65_floor072__current_c3_d2,30,0.006265366066690458,0.0012587972234916756,9,8
rg_gamma55_current__current_c3_d2,rg_gamma55_current__conditioned_p10_f025,30,0.005857611191063578,0.006527658551702509,8,0
rg_gamma55_current__current_c3_d2,rg_gamma55_current__conditioned_p10_f050,30,0.005809482381511518,0.00701088526287541,13,1
rg_gamma55_current__current_c3_d2,fc_floor020_sigma110__current_c3_d2,30,0.005749020590586864,-0.0007847412042871482,8,9
rg_gamma55_current__current_c3_d2,fc_floor020_alpha018__current_c3_d2,30,0.004565832636450364,-0.0006761170527031513,8,10
rg_gamma55_current__current_c3_d2,fc_floor020_weight092__conditioned_p10_f025,30,0.00390731567760376,0.0009736071598229756,7,8
rg_gamma55_current__current_c3_d2,fc_floor020_weight092__conditioned_p10_f050,30,0.0039048587862036003,0.0007197765738558015,8,9
rg_gamma55_current__current_c3_d2,fc_floor020_neighborhood18__current_c3_d2,30,0.003348607672603273,-0.003777258882773693,8,11
rg_gamma55_current__current_c3_d2,fc_floor020_weight088__current_c3_d2,30,0.0019426546643803073,-0.0008140877577204053,6,9
rg_gamma55_current__current_c3_d2,fc_floor020_weight092__current_c3_d2,30,-0.0018731611352155286,-0.00525077196239776,7,11
rg_gamma55_current__current_c3_d2,rg_gamma65_branch_local_p95__conditioned_p10_f050,30,-0.3451637140092584,-0.37486669481173296,0,28
rg_gamma55_current__current_c3_d2,rg_gamma65_branch_local_p95__conditioned_p10_f025,30,-0.34711437439916376,-0.37623975610104543,0,28
rg_gamma55_current__current_c3_d2,rg_gamma65_branch_local_p95__current_c3_d2,30,-0.35129085618601485,-0.3775012791728829,0,29
rg_gamma55_current__current_c3_d2,rg_gamma65_branch_local_p90__conditioned_p10_f050,30,-0.41662512527229134,-0.4445695529762168,1,28
rg_gamma55_current__current_c3_d2,rg_gamma65_branch_local_p90__conditioned_p10_f025,30,-0.41774920350310296,-0.4451578197905257,1,28
rg_gamma55_current__current_c3_d2,rg_gamma65_branch_local_p90__current_c3_d2,30,-0.41964142908342034,-0.4449225580629672,1,28
