split_name,batch_number,total_batches,num_images,first_img_id,last_img_id,result_file,started_at,finished_at,duration_seconds,duration_minutes,duration_hours
train,1,5,6,28,428,ostios_train_lote_1_summary.csv,2026-06-17T11:35:28,2026-06-17T11:50:11,882.1695468425751,14.702825780709585,0.2450470963451597
train,2,5,6,752,836,ostios_train_lote_2_summary.csv,2026-06-17T11:50:11,2026-06-17T12:02:54,763.3548469543457,12.722580782572429,0.2120430130428738
train,3,5,6,603,793,ostios_train_lote_3_summary.csv,2026-06-17T12:02:54,2026-06-17T12:13:52,658.2123506069183,10.97020584344864,0.1828367640574773
train,4,5,6,550,887,ostios_train_lote_4_summary.csv,2026-06-17T12:13:52,2026-06-17T12:26:38,765.5122606754303,12.758537677923838,0.2126422946320639
train,5,5,6,175,344,ostios_train_lote_5_summary.csv,2026-06-17T12:26:38,2026-06-17T12:41:54,916.7722337245941,15.279537228743235,0.25465895381238723
