variant,images,valid_dice_images,ostia_success_rate,mean_dice,median_dice,std_dice,mean_dice_success_ostia,zero_dice_rate,processed_limit_hit_rate,candidate_limit_hit_rate,error_count,mean_vesselness_seconds,mean_segmentation_seconds
fc_floor_022,30,30,0.9333333333333333,0.6000310288345129,0.6382921289496541,0.14591318374503817,0.6258818137196627,0.03333333333333333,0.0,0.4,0,0.38292766806674383,3.364440857033211
fc_alpha_018,30,30,0.9333333333333333,0.5999427069457207,0.6385961209639887,0.14965359725440136,0.6256011488845373,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.1841264981664303
fc_weight_085,30,30,0.9333333333333333,0.5963982073255776,0.6351694550469387,0.14861152348516365,0.6223195443116796,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.4987530981999346
fc_current,30,30,0.9333333333333333,0.5961503403258237,0.6403448730658845,0.14864162626289548,0.6216688688902801,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.3308370150668756
fc_seed_radius_1,30,30,0.9333333333333333,0.5961503403258237,0.6403448730658845,0.14864162626289548,0.6216688688902801,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.355303071166054
fc_seed_radius_3,30,30,0.9333333333333333,0.5961503403258237,0.6403448730658845,0.14864162626289548,0.6216688688902801,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.350255255932825
fc_seeds_2,30,30,0.9333333333333333,0.5961503403258237,0.6403448730658845,0.14864162626289548,0.6216688688902801,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.362749518200023
fc_seeds_6,30,30,0.9333333333333333,0.5961503403258237,0.6403448730658845,0.14864162626289548,0.6216688688902801,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.343002197866311
fc_separate_ostia,30,30,0.9333333333333333,0.5961503403258237,0.6403448730658845,0.14864162626289548,0.6216688688902801,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.4290970781001304
fc_candidates_750k,30,30,0.9333333333333333,0.5961476462238856,0.6403448730658845,0.1486347885627136,0.6216657870524015,0.03333333333333333,0.0,0.0,0,0.38292766806674383,3.388561554966812
fc_candidates_350k,30,30,0.9333333333333333,0.5960772503108084,0.6401764736897225,0.1486644233922149,0.6215835928676875,0.03333333333333333,0.0,0.9666666666666667,0,0.38292766806674383,3.1961156740001875
fc_sigma_080,30,30,0.9333333333333333,0.595142923883748,0.6424398247502578,0.15085051878869807,0.6205734925831654,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.3203619893671203
fc_weight_095,30,30,0.9333333333333333,0.5951225974912367,0.6350435436187638,0.14919558205986114,0.6205363562429839,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.2421296701334237
fc_sigma_120,30,30,0.9333333333333333,0.5946685124575168,0.6383152489745609,0.14809601261688443,0.6201286524412251,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.3390909228666716
fc_floor_014,30,30,0.9333333333333333,0.5923789795994802,0.6304636977770779,0.14986649402347593,0.6176134629557088,0.03333333333333333,0.0,0.8666666666666667,0,0.38292766806674383,3.316388672833212
fc_alpha_014,30,30,0.9333333333333333,0.5915728436852968,0.6334719455386415,0.1474641157965737,0.6172579100207788,0.03333333333333333,0.0,0.7333333333333333,0,0.38292766806674383,3.5309971493001284
