IMG_ID,normal_rg,normal_threshold_fc,rg_variant,fc_variant,fc_minus_rg,ostia_status,left_dist_mm,right_dist_mm,fuzzy_threshold_balanced_fc_semi_permissive,fuzzy_threshold_balanced_rg,contextual_strong_object_threshold_fc,contextual_strong_object_threshold_rg
2,0.7060443572784744,0.6797919423278733,normal_rg,normal_threshold_fc,-0.026252414950601044,both_tolerable,2.6759950872584297,0.8948979188467532,,,,
10,0.6501526976586359,0.6661749468767013,normal_rg,normal_threshold_fc,0.016022249218065387,both_tolerable,0.9943689110435825,0.0,,,,
11,0.5077697995927554,0.4508477212630269,normal_rg,normal_threshold_fc,-0.056922078329728454,found_but_wrong,0.0,inf,,,,
13,0.5726432920428302,0.5460857296675145,normal_rg,normal_threshold_fc,-0.026557562375315702,both_tolerable,2.0859375,1.1031404921008474,,,,
23,0.0,0.0,normal_rg,normal_threshold_fc,0.0,found_but_wrong,55.035933113883154,30.65221233006745,,,,
28,0.6709658928059616,0.6566606660666067,normal_rg,normal_threshold_fc,-0.01430522673935497,both_tolerable,1.0737001589130926,0.8375058302035873,,,,
44,0.15628892971009903,0.3171667829727844,normal_rg,normal_threshold_fc,0.16087785326268536,found_but_wrong,0.58984375,26.54707531238802,,,,
90,0.6790472676587546,0.5472710136235113,normal_rg,normal_threshold_fc,-0.1317762540352433,both_tolerable,0.66015625,0.5,,,,
129,0.7126447678184892,0.7076324065292268,normal_rg,normal_threshold_fc,-0.0050123612892624125,both_tolerable,2.23828125,0.5,,,,
134,0.07728227877655848,0.0782433521353747,normal_rg,normal_threshold_fc,0.0009610733588162196,found_but_wrong,1.4237464075486943,26.652513213040326,,,,
175,0.45843219495767445,0.5923744364649646,normal_rg,normal_threshold_fc,0.13394224150729012,both_tolerable,0.9004562916672442,0.5,,,,
194,0.789477826928829,0.7851837146591228,normal_rg,normal_threshold_fc,-0.004294112269706107,both_tolerable,0.8095744354916121,1.345667690480501,,,,
248,0.5109741191475793,0.5131360693456044,normal_rg,normal_threshold_fc,0.00216195019802512,found_but_wrong,0.0,21.585732502193434,,,,
