IMG_ID,pipeline_mode,mid_downscale_factors,high_downscale_factors,artery_segmentation_method,mid_ostia_success,high_ostia_success,segmentation_attempted,dice_artery,dice_artery_before_morphology,dice_artery_after_morphology,dice_artery_morphology_delta,error_stage,error,mid_preprocessing_seconds,mid_image_shape,mid_min_threshold,mid_max_threshold,mid_threshold_voxels,mid_lcc_voxels,mid_aorta_circle_count,mid_aorta_detected_circle_count,mid_aorta_interpolated_circle_count,mid_aorta_circle_first_slice,mid_aorta_circle_last_slice,mid_aorta_circle_coverage,mid_aorta_recovered_initialization,mid_aorta_mask_voxels,mid_aorta_ostia_seconds,mid_ostia_left,mid_ostia_right,mid_ostia_pair_complete,mid_ostia_status,mid_both_correct,mid_both_tolerable,mid_left_intersects,mid_right_intersects,mid_left_dist_mm,mid_right_dist_mm,high_preprocessing_seconds,high_image_shape,high_min_threshold,high_max_threshold,high_threshold_voxels,high_lcc_voxels,high_label_artery_voxels,high_ostia_left,high_ostia_right,ostia_coordinate_scale,high_ostia_pair_complete,high_ostia_status,high_both_correct,high_both_tolerable,high_left_intersects,high_right_intersects,high_left_dist_mm,high_right_dist_mm,variant,shared_preparation_seconds,rg_threshold_divisor,rg_min_vesselness_fraction,post_closing_radius,post_dilation_radius,artery_sigmas,high_vesselness_seconds,high_vesselness_reused,high_artery_segmentation_seconds,artery_voxels_before_morphology,artery_voxels_after_morphology,artery_voxels,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,total_seconds,incremental_sweep_seconds,split
854,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.5616063234554013,0.30467128314983644,0.5616063234554013,0.25693504030556485,,,2.7877362549997997,"[256, 256, 275]",-300.0,953.25,10723965,10472395,138,138,0,137,274,0.5018181818181818,False,255339,52.75670157900004,"[99, 151, 157]","[124, 117, 185]",True,both_tolerable,False,True,False,False,1.2734375,0.63671875,4.866315751000002,"[512, 512, 275]",-300.0,966.0,42918311,41917182,97828,"[198, 302, 157]","[248, 234, 185]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.4046336739722,0.4502281458336221,baseline_high_scaled,72.2469472089997,12,0.05,6,4,"[1.5, 2.0, 2.5, 3.0]",1.5912882879993049,False,47.79902030699941,22610,172404,172404,,,,,121.63725580399841,49.390308594998714,train
854,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.617962107907561,0.30467128314983644,0.617962107907561,0.3132908247577246,,,2.7877362549997997,"[256, 256, 275]",-300.0,953.25,10723965,10472395,138,138,0,137,274,0.5018181818181818,False,255339,52.75670157900004,"[99, 151, 157]","[124, 117, 185]",True,both_tolerable,False,True,False,False,1.2734375,0.63671875,4.866315751000002,"[512, 512, 275]",-300.0,966.0,42918311,41917182,97828,"[198, 302, 157]","[248, 234, 185]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.4046336739722,0.4502281458336221,morphology_mid_radii,72.2469472089997,12,0.05,3,2,"[1.5, 2.0, 2.5, 3.0]",1.5912882879993049,True,7.836141718000363,22610,74134,74134,,,,,81.67437721499937,7.836141718000363,train
854,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.6009457925300359,0.26797289715592765,0.6009457925300359,0.33297289537410824,,,2.7877362549997997,"[256, 256, 275]",-300.0,953.25,10723965,10472395,138,138,0,137,274,0.5018181818181818,False,255339,52.75670157900004,"[99, 151, 157]","[124, 117, 185]",True,both_tolerable,False,True,False,False,1.2734375,0.63671875,4.866315751000002,"[512, 512, 275]",-300.0,966.0,42918311,41917182,97828,"[198, 302, 157]","[248, 234, 185]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.4046336739722,0.4502281458336221,rg_mid_thresholds,72.2469472089997,7,0.078,6,4,"[1.5, 2.0, 2.5, 3.0]",1.5912882879993049,True,47.40842618999977,18027,147046,147046,,,,,121.24666168699878,47.40842618999977,train
854,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.6105411209202446,0.26797289715592765,0.6105411209202446,0.34256822376431695,,,2.7877362549997997,"[256, 256, 275]",-300.0,953.25,10723965,10472395,138,138,0,137,274,0.5018181818181818,False,255339,52.75670157900004,"[99, 151, 157]","[124, 117, 185]",True,both_tolerable,False,True,False,False,1.2734375,0.63671875,4.866315751000002,"[512, 512, 275]",-300.0,966.0,42918311,41917182,97828,"[198, 302, 157]","[248, 234, 185]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.4046336739722,0.4502281458336221,rg_mid_thresholds_morphology_mid,72.2469472089997,7,0.078,3,2,"[1.5, 2.0, 2.5, 3.0]",1.5912882879993049,True,7.724022604000311,18027,61434,61434,,,,,81.56225810099932,7.724022604000311,train
854,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.5166524119493795,0.2392367301548075,0.5166524119493795,0.277415681794572,,,2.7877362549997997,"[256, 256, 275]",-300.0,953.25,10723965,10472395,138,138,0,137,274,0.5018181818181818,False,255339,52.75670157900004,"[99, 151, 157]","[124, 117, 185]",True,both_tolerable,False,True,False,False,1.2734375,0.63671875,4.866315751000002,"[512, 512, 275]",-300.0,966.0,42918311,41917182,97828,"[198, 302, 157]","[248, 234, 185]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.4046336739722,0.4502281458336221,artery_sigmas_physical_x2,72.2469472089997,12,0.05,6,4,"[3.0, 4.0, 5.0, 6.0]",2.559012755000367,False,48.94889450299979,15474,97429,97429,,,,,123.75485446699986,51.50790725800016,train
937,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.5865952216219399,0.334125033218177,0.5865952216219399,0.2524701884037629,,,2.945188583000345,"[256, 256, 275]",-300.0,969.75,11867469,11567669,82,82,0,193,274,0.29818181818181816,False,128721,26.539206379999996,"[106, 170, 209]","[115, 129, 227]",True,both_tolerable,False,True,False,False,1.390625,2.160392872438078,4.850448475999656,"[512, 512, 275]",-300.0,981.0,47492358,46294496,97346,"[212, 340, 209]","[230, 258, 227]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.5547660156053225,1.6035096775925028,baseline_high_scaled,48.09539038499952,12,0.05,6,4,"[1.5, 2.0, 2.5, 3.0]",1.6728178410003238,False,49.90524681900024,23070,174378,174378,,,,,99.67345504500008,51.578064660000564,train
937,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.6619294286890999,0.334125033218177,0.6619294286890999,0.3278043954709229,,,2.945188583000345,"[256, 256, 275]",-300.0,969.75,11867469,11567669,82,82,0,193,274,0.29818181818181816,False,128721,26.539206379999996,"[106, 170, 209]","[115, 129, 227]",True,both_tolerable,False,True,False,False,1.390625,2.160392872438078,4.850448475999656,"[512, 512, 275]",-300.0,981.0,47492358,46294496,97346,"[212, 340, 209]","[230, 258, 227]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.5547660156053225,1.6035096775925028,morphology_mid_radii,48.09539038499952,12,0.05,3,2,"[1.5, 2.0, 2.5, 3.0]",1.6728178410003238,True,8.639773255999899,23070,75047,75047,,,,,58.40798148199974,8.639773255999899,train
937,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.6172722583482019,0.29345833189192927,0.6172722583482019,0.3238139264562726,,,2.945188583000345,"[256, 256, 275]",-300.0,969.75,11867469,11567669,82,82,0,193,274,0.29818181818181816,False,128721,26.539206379999996,"[106, 170, 209]","[115, 129, 227]",True,both_tolerable,False,True,False,False,1.390625,2.160392872438078,4.850448475999656,"[512, 512, 275]",-300.0,981.0,47492358,46294496,97346,"[212, 340, 209]","[230, 258, 227]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.5547660156053225,1.6035096775925028,rg_mid_thresholds,48.09539038499952,7,0.078,6,4,"[1.5, 2.0, 2.5, 3.0]",1.6728178410003238,True,50.11279150500013,18282,139172,139172,,,,,99.88099973099997,50.11279150500013,train
937,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.6372698651919306,0.29345833189192927,0.6372698651919306,0.34381153330000136,,,2.945188583000345,"[256, 256, 275]",-300.0,969.75,11867469,11567669,82,82,0,193,274,0.29818181818181816,False,128721,26.539206379999996,"[106, 170, 209]","[115, 129, 227]",True,both_tolerable,False,True,False,False,1.390625,2.160392872438078,4.850448475999656,"[512, 512, 275]",-300.0,981.0,47492358,46294496,97346,"[212, 340, 209]","[230, 258, 227]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.5547660156053225,1.6035096775925028,rg_mid_thresholds_morphology_mid,48.09539038499952,7,0.078,3,2,"[1.5, 2.0, 2.5, 3.0]",1.6728178410003238,True,8.514355323999553,18282,59247,59247,,,,,58.282563549999395,8.514355323999553,train
937,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.578589536759622,0.25254259910130356,0.578589536759622,0.32604693765831844,,,2.945188583000345,"[256, 256, 275]",-300.0,969.75,11867469,11567669,82,82,0,193,274,0.29818181818181816,False,128721,26.539206379999996,"[106, 170, 209]","[115, 129, 227]",True,both_tolerable,False,True,False,False,1.390625,2.160392872438078,4.850448475999656,"[512, 512, 275]",-300.0,981.0,47492358,46294496,97346,"[212, 340, 209]","[230, 258, 227]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.5547660156053225,1.6035096775925028,artery_sigmas_physical_x2,48.09539038499952,12,0.05,6,4,"[3.0, 4.0, 5.0, 6.0]",2.8031045150000864,False,51.027833020999424,15039,93570,93570,,,,,101.92632792099903,53.83093753599951,train
315,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.6011645150034892,0.3357884974664319,0.6011645150034892,0.2653760175370573,,,2.9772847479998745,"[256, 256, 275]",-300.0,893.25,12624120,12464696,134,134,0,141,274,0.48727272727272725,False,388346,48.71775492300003,"[100, 179, 144]","[115, 146, 217]",True,both_tolerable,False,True,True,False,0.0,0.5,4.382084117999511,"[512, 512, 275]",-300.0,906.0,50514206,49872769,117737,"[200, 358, 144]","[230, 292, 217]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,True,False,0.0,0.5,baseline_high_scaled,61.63724979299968,12,0.05,6,4,"[1.5, 2.0, 2.5, 3.0]",1.5980114170006345,False,49.56746952699996,31065,249111,249111,,,,,112.80273073700027,51.16548094400059,train
315,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.6676668428170932,0.3357884974664319,0.6676668428170932,0.3318783453506613,,,2.9772847479998745,"[256, 256, 275]",-300.0,893.25,12624120,12464696,134,134,0,141,274,0.48727272727272725,False,388346,48.71775492300003,"[100, 179, 144]","[115, 146, 217]",True,both_tolerable,False,True,True,False,0.0,0.5,4.382084117999511,"[512, 512, 275]",-300.0,906.0,50514206,49872769,117737,"[200, 358, 144]","[230, 292, 217]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,True,False,0.0,0.5,morphology_mid_radii,61.63724979299968,12,0.05,3,2,"[1.5, 2.0, 2.5, 3.0]",1.5980114170006345,True,7.934611953000058,31065,105557,105557,,,,,71.16987316300037,7.934611953000058,train
315,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.6664445671279992,0.2912336645502947,0.6664445671279992,0.37521090257770445,,,2.9772847479998745,"[256, 256, 275]",-300.0,893.25,12624120,12464696,134,134,0,141,274,0.48727272727272725,False,388346,48.71775492300003,"[100, 179, 144]","[115, 146, 217]",True,both_tolerable,False,True,True,False,0.0,0.5,4.382084117999511,"[512, 512, 275]",-300.0,906.0,50514206,49872769,117737,"[200, 358, 144]","[230, 292, 217]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,True,False,0.0,0.5,rg_mid_thresholds,61.63724979299968,7,0.078,6,4,"[1.5, 2.0, 2.5, 3.0]",1.5980114170006345,True,49.85213696000028,22755,197437,197437,,,,,113.0873981700006,49.85213696000028,train
315,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.671350922714794,0.2912336645502947,0.671350922714794,0.3801172581644993,,,2.9772847479998745,"[256, 256, 275]",-300.0,893.25,12624120,12464696,134,134,0,141,274,0.48727272727272725,False,388346,48.71775492300003,"[100, 179, 144]","[115, 146, 217]",True,both_tolerable,False,True,True,False,0.0,0.5,4.382084117999511,"[512, 512, 275]",-300.0,906.0,50514206,49872769,117737,"[200, 358, 144]","[230, 292, 217]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,True,False,0.0,0.5,rg_mid_thresholds_morphology_mid,61.63724979299968,7,0.078,3,2,"[1.5, 2.0, 2.5, 3.0]",1.5980114170006345,True,8.111833418999595,22755,81512,81512,,,,,71.34709462899991,8.111833418999595,train
315,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.43802012935512336,0.13030977994723789,0.43802012935512336,0.30771034940788544,,,2.9772847479998745,"[256, 256, 275]",-300.0,893.25,12624120,12464696,134,134,0,141,274,0.48727272727272725,False,388346,48.71775492300003,"[100, 179, 144]","[115, 146, 217]",True,both_tolerable,False,True,True,False,0.0,0.5,4.382084117999511,"[512, 512, 275]",-300.0,906.0,50514206,49872769,117737,"[200, 358, 144]","[230, 292, 217]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,True,False,0.0,0.5,artery_sigmas_physical_x2,61.63724979299968,12,0.05,6,4,"[3.0, 4.0, 5.0, 6.0]",2.849193091999041,False,49.76210326299952,8869,61305,61305,,,,,114.24854614799824,52.61129635499856,train
