IMG_ID,base_dice,base_ostia,base_min_hu,base_threshold_voxels,base_lcc_voxels,artery_dice,ostia_detection_status,min_threshold_hu,threshold_voxel_count,lcc_voxel_count,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,variant,delta,threshold_delta,lcc_voxel_delta,status_changed
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7431562481198484,both tolerable,-128.0,11368797,9977920,object_relative_percentile,10.0,99.5,object_relative_p10p0,0.004986655292056108,172.0,-930306,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6725147400209545,both tolerable,-103.75,10031823,9559275,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.0015488472149928212,196.25,-1226357,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5668374035381726,both tolerable,-121.5,7072191,6933662,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.025790793742429097,178.5,-709754,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.6405620992992396,both tolerable,-108.25,9687734,9312661,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.009255080963045947,191.75,-1125788,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.664364640883978,both tolerable,-100.75,10636463,10284630,object_relative_percentile,12.5,99.5,object_relative_p12p5,-0.020561161659934823,199.25,-1249218,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.646440624617483,both tolerable,-100.25,11343882,11090033,object_relative_percentile,12.5,99.5,object_relative_p12p5,-6.129816097499852e-05,199.75,-1339431,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6291852213082145,both tolerable,-115.5,11314391,10870773,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.005749120502278715,184.5,-1598032,False
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.5851997612151496,both tolerable,-81.0,7880575,7138018,object_relative_percentile,12.5,99.5,object_relative_p12p5,-0.0004117337216569261,219.0,-718098,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5729957223678763,both tolerable,-108.25,11070965,10866852,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.00035243032504617133,191.75,-1271020,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.7443092250457154,both tolerable,-92.75,11130142,10498256,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.18815107249148166,207.25,-1574048,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.6575542367934624,both tolerable,-112.0,11229698,11066951,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.17600456584391677,188.0,-1393413,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4645736623503542,found but incorrect,-117.75,10528790,10330183,object_relative_percentile,12.5,99.5,object_relative_p12p5,-0.002775220597311834,182.25,-1175890,False
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7471619068993248,both tolerable,-93.75,9785756,9301900,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.0032739675369112264,206.25,-1022282,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4340926542103916,found but incorrect,-111.5,7727300,7480960,object_relative_percentile,12.5,99.5,object_relative_p12p5,-0.004042096643145698,188.5,-783066,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4985142592521128,both tolerable,-107.25,11713258,11436514,object_relative_percentile,12.5,99.5,object_relative_p12p5,-0.0002844697256443318,192.75,-1524187,False
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3944383162424589,both tolerable,-135.25,7133160,6453497,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.2381493865323599,164.75,-1168842,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7042267446650737,both tolerable,-100.75,10578998,10355266,object_relative_percentile,12.5,99.5,object_relative_p12p5,-0.008418023153415444,199.25,-1278717,False
518,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.6954879900338693,both tolerable,-102.25,9946173,9402576,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.02835908048980318,197.75,-1538186,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7195321081851379,both tolerable,-101.25,8399397,8222550,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.011101395080195808,198.75,-1018525,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.541324311261479,both tolerable,-110.5,11273765,11131087,object_relative_percentile,12.5,99.5,object_relative_p12p5,-0.00046363052646281044,189.5,-1397354,False
631,0.5032588315823934,both tolerable,-300.0,11110441,10876543,0.729084008970157,both tolerable,-107.75,9887968,9010867,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.22582517738776364,192.25,-1865676,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.657595970079358,both tolerable,-107.75,9425303,9077412,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.03788130159509351,192.25,-1082424,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6802663188962866,both tolerable,-111.0,10725503,9959951,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.0012190512375320761,189.0,-1680447,False
608,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6763613633856675,both tolerable,-116.75,7847123,7748185,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.009694696719000917,183.25,-901769,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.5511044094873258,both tolerable,-106.75,10063752,9603218,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.0002978102237417568,193.25,-1206974,False
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.4712844520638269,both tolerable,-91.5,8972524,8670397,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.01285225710615251,208.5,-1118869,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7238493133283462,both tolerable,-103.75,10189080,9061191,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.005417485085761009,196.25,-1421253,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6312524234199302,both tolerable,-100.5,7784440,7577948,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.0008923910574706317,199.5,-747192,False
194,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.7992728910623512,both tolerable,-88.75,11374435,10789041,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.009795064133522269,211.25,-1608083,False
305,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6915877395778954,both tolerable,-114.5,10031167,9242759,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.003910201912942668,185.5,-1783957,False
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7437901998885323,both tolerable,-117.25,11075451,9660214,object_relative_percentile,12.5,99.5,object_relative_p12p5,0.005620607060740079,182.75,-1248012,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6727355109774684,both tolerable,-94.75,9769616,9190035,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.0017696181715067816,205.25,-1595597,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5663547110696971,both tolerable,-110.75,6904810,6745458,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.025308101273953665,189.25,-897958,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.5799353017534461,both tolerable,-99.5,9444857,8649282,object_relative_percentile,15.0,99.5,object_relative_p15p0,-0.05137171658274753,200.5,-1789167,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6500207210940737,both tolerable,-92.25,10355681,9823521,object_relative_percentile,15.0,99.5,object_relative_p15p0,-0.03490508144983906,207.75,-1710327,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.645393938327851,both tolerable,-91.25,11061934,10729798,object_relative_percentile,15.0,99.5,object_relative_p15p0,-0.0011079844506070025,208.75,-1699666,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6300762157770528,both tolerable,-105.0,11010104,10140699,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.006640114971116939,195.0,-2328106,False
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.6628581745028758,both tolerable,-63.5,7704206,6935601,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.07724667956606923,236.5,-920515,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5732633614141693,both tolerable,-100.75,10776712,10511402,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.0006200693713391825,199.25,-1626470,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.7398075166245299,both tolerable,-84.5,10815449,9951251,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.1836493640702962,215.5,-2121053,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.6544748605174721,both tolerable,-106.0,10919236,10681399,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.17292518956792646,194.0,-1778965,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4645378151260504,found but incorrect,-111.25,10261091,9980836,object_relative_percentile,15.0,99.5,object_relative_p15p0,-0.0028110678216156093,188.75,-1525237,False
