variant,images,ostia_success_rate,ostia_found_rate,both_correct_rate,both_tolerable_rate,mean_dice,median_dice,mean_dice_success_ostia,mean_left_dist_mm,mean_right_dist_mm,error_count,runtime_seconds,runtime_minutes,selection_score
contextual_strong_object_threshold_rg,30,0.9,1.0,0.0,0.9,0.6224432768535306,0.6392582409758727,0.6400612286518673,1.390641800733334,1.655182552269731,0,2431.8445196151733,40.530741993586226,0.5760551057866806
contextual_strong_rg,30,0.9,1.0,0.0,0.9,0.6084839734205959,0.6389658365715514,0.6365942936906341,0.8038745198928582,3.209239994876794,0,2591.4311254024506,43.19051875670751,0.5729348643215707
contextual_strong_both_rg,30,0.9,1.0,0.0,0.9,0.6084839734205959,0.6389658365715514,0.6365942936906341,0.8038745198928582,3.209239994876794,0,2589.236628293991,43.15394380489985,0.5729348643215707
contextual_moderate_rg,30,0.9,1.0,0.0,0.9,0.6064323876466051,0.6309144672036824,0.6344719841013933,0.8038745198928582,3.209239994876794,0,2518.226291656494,41.970438194274905,0.5710247856912539
normal_rg,30,0.9,1.0,0.0,0.9,0.6063899178387462,0.6308335253493266,0.6344416656167068,0.8038745198928582,3.209239994876794,0,2568.3822989463806,42.806371649106346,0.5709974990550362
normal_threshold_fc,30,0.9,1.0,0.0,0.9,0.6083686327072176,0.6397719020477757,0.6302184043129827,0.8038745198928582,3.209239994876794,0,2637.955443382263,43.96592405637105,0.5671965638816845
contextual_moderate_fc,30,0.9,1.0,0.0,0.9,0.6083711739593353,0.6398808136718741,0.6301989969647096,0.8038745198928582,3.209239994876794,0,2657.686280965805,44.294771349430086,0.5671790972682387
normal_fc_semi_permissive,30,0.9,1.0,0.0,0.9,0.6068668594378669,0.6408024251722799,0.6293701826728499,0.8038745198928582,3.209239994876794,0,2657.2783737182617,44.287972895304364,0.566433164405565
fuzzy_threshold_rg,30,0.9,1.0,0.0,0.9,0.6150823881338126,0.6315788394729582,0.6292738636585055,1.390641800733334,1.6669576897835905,0,2427.9352655410767,40.46558775901794,0.566346477292655
fuzzy_threshold_conservative_rg,30,0.9,1.0,0.0,0.9,0.614887395874654,0.6316714496333748,0.6292556724392945,1.390641800733334,1.655182552269731,0,2452.8833005428314,40.881388342380525,0.5663301051953651
fuzzy_threshold_balanced_rg,30,0.9,1.0,0.0,0.9,0.6149294254702341,0.6311132428396251,0.6291039051434183,1.390641800733334,1.6669576897835905,0,2426.4473593235016,40.44078932205836,0.5661935146290765
normal_fc_permissive,30,0.9,1.0,0.0,0.9,0.603722399142965,0.6312555567036245,0.6283656711836725,0.8038745198928582,3.209239994876794,0,2683.2761631011963,44.72126938501994,0.5655291040653052
contextual_strong_fc,30,0.9,1.0,0.0,0.9,0.6033569696213125,0.630267657795992,0.624286580802381,0.8038745198928582,3.209239994876794,0,2661.603155851364,44.36005259752274,0.5618579227221429
fuzzy_threshold_balanced_fc_semi_permissive,30,0.9,1.0,0.0,0.9,0.6105425189219792,0.6402532821003888,0.6235755604982427,1.390641800733334,1.6669576897835905,0,2519.0530772209167,41.98421795368195,0.5612180044484184
fuzzy_threshold_balanced_fc,30,0.9,1.0,0.0,0.9,0.609976430154952,0.6395917012067285,0.6235447115586937,1.390641800733334,1.6669576897835905,0,2503.2253410816193,41.72042235136032,0.5611902404028244
fuzzy_threshold_fc,30,0.9,1.0,0.0,0.9,0.6099176059899626,0.6393757901071342,0.6234793513753722,1.390641800733334,1.6669576897835905,0,2498.3365592956543,41.63894265492757,0.561131416237835
fuzzy_threshold_conservative_fc,30,0.9,1.0,0.0,0.9,0.6092019078045278,0.639249681002924,0.6227120250525151,1.390641800733334,1.655182552269731,0,2351.246246814728,39.18743744691213,0.5604408225472636
contextual_strong_object_threshold_fc,30,0.9,1.0,0.0,0.9,0.5982002068395416,0.6260945259578532,0.610410801012688,1.390641800733334,1.655182552269731,0,2524.085915327072,42.06809858878454,0.5493697209114192
normal_fc_strict,30,0.9,1.0,0.0,0.9,0.5635682587382181,0.6024358404722906,0.5799834218040535,0.8038745198928582,3.209239994876794,0,2651.6927003860474,44.194878339767456,0.5219850796236482
