split_name,batch_number,total_batches,num_images,first_img_id,last_img_id,result_file,started_at,finished_at,duration_seconds,duration_minutes,duration_hours
train,1,5,6,28,428,ostios_train_lote_1_summary.csv,2026-08-26T16:58:55,2026-08-26T17:04:00,304.4593529701233,5.074322549502055,0.0845720424917009
train,2,5,6,752,836,ostios_train_lote_2_summary.csv,2026-08-26T17:04:00,2026-08-26T17:07:39,219.6924889087677,3.661541481812795,0.0610256913635465
train,3,5,6,603,793,ostios_train_lote_3_summary.csv,2026-08-26T17:07:39,2026-08-26T17:11:17,217.7005519866944,3.628342533111572,0.0604723755518595
train,4,5,6,550,887,ostios_train_lote_4_summary.csv,2026-08-26T17:11:17,2026-08-26T17:15:33,255.48687529563904,4.258114588260651,0.0709685764710108
train,5,5,6,175,344,ostios_train_lote_5_summary.csv,2026-08-26T17:15:33,2026-08-26T17:19:20,227.67690753936768,3.794615125656128,0.06324358542760213
