IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_recovered_initialization,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_mode,aorta_level_set_iterations_used,aorta_level_set_stop_reason,aorta_level_set_checkpoint_count,aorta_level_set_rolled_back,aorta_level_set_mask_change_fraction,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_level_set_leak_suspected,aorta_level_set_localization_suspected,aorta_level_set_leak_signal_count,aorta_level_set_trigger_iteration,aorta_level_set_trigger_volume_fraction,aorta_level_set_trigger_relative_growth,aorta_level_set_trigger_mask_change_fraction,aorta_level_set_trigger_circle_fill_q25,aorta_level_set_trigger_circle_area_ratio_p90,aorta_level_set_correction_applied,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_ostia_method,aorta_miss_count,aorta_interpolate_missed_circles
28,0.6673056529896403,0.3665257037134928,0.6673056529896403,0.3007799492761475,24851,6083,24851,region_growing,,,,,normal,,-486.75,946.75,percentile,10.75,11573143,11123016,275,18022400,120,120,0,155,274,0.4363636363636363,no,194586,130,1496.8153846153846,0.0107968971946022,adaptive,31,nominal_complete,4,no,0.0356959371981669,0.8443158803907553,1.3756288190503758,no,no,0,,,,,,,no,yes,both tolerable,yes,no,,,no,yes,no,no,0.671875,0.671875,"(103, 145, 182)","(128, 114, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
380,0.5563931198839499,0.2980767102671359,0.5563931198839499,0.258316409616814,41730,9705,41730,region_growing,,,,,normal,,-259.75,877.0,percentile,10.75,7749547,7615382,206,13500416,77,77,0,129,205,0.3737864077669903,no,208643,87,2398.1954022988507,0.0154545608076077,adaptive,31,nominal_complete,4,no,0.0156899955910824,0.9872701555869872,1.6737770346785756,no,no,0,,,,,,,no,yes,both tolerable,yes,no,,,no,yes,no,no,2.059923817235118,3.936151182667213,"(92, 121, 122)","(113, 95, 163)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
854,0.6225757090495,0.3544778491069726,0.6225757090495,0.2680978599425274,31826,7090,31826,region_growing,,,,,normal,,-539.75,793.25,percentile,10.75,11245828,10805757,275,18022400,138,138,0,137,274,0.5018181818181818,no,258506,148,1746.662162162162,0.014343594637784,adaptive,31,nominal_complete,4,no,0.0240190295693206,0.9597384717001942,1.5098609076480267,no,no,0,,,,,,,no,yes,both tolerable,yes,no,,,no,yes,no,yes,1.2734375,0.0,"(99, 151, 157)","(123, 115, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
937,0.677582948144544,0.3741960887255545,0.677582948144544,0.3033868594189894,29414,6453,29414,region_growing,,,,,normal,,-472.25,847.5,percentile,10.75,12176976,11760383,275,18022400,82,82,0,193,274,0.2981818181818181,no,128390,92,1395.5434782608695,0.0071239124644886,adaptive,31,nominal_complete,4,no,0.0168525325524889,0.8810278533035417,1.2957373731104986,no,no,0,,,,,,,no,yes,both tolerable,yes,no,,,no,yes,no,no,0.8564224849081498,3.2663725220992474,"(106, 171, 211)","(114, 129, 224)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
315,0.6453802943102319,0.3275556928954687,0.6453802943102319,0.3178246014147632,28819,6382,28819,region_growing,,,,,normal,,-386.0,799.0,percentile,10.75,12756276,12560917,275,18022400,149,149,0,126,274,0.5418181818181819,no,505770,159,3180.943396226415,0.0280634099786931,adaptive,31,nominal_corrected,4,no,0.1891436926451066,0.9897159647404504,2.462606604964751,yes,no,3,26.0,0.0302928022904829,0.1776751470074334,0.1514551693577625,0.9855421686746988,4.01289318256493,yes,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.3908992882585445,"(100, 181, 143)","(113, 144, 215)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
428,0.6281641932105545,0.3252892314038739,0.6281641932105545,0.3028749618066805,34256,9289,34256,region_growing,,,,,normal,,-202.25,815.75,percentile,10.75,12434343,12306918,275,18022400,172,172,0,103,274,0.6254545454545455,no,520034,182,2857.3296703296705,0.0288548694957386,adaptive,31,nominal_corrected,4,no,0.0262192061958369,0.9963476990504018,2.549761262983788,yes,no,3,26.0,0.0292665793678977,0.0261072224794468,0.0259594535171117,0.9963476990504018,2.780270142085872,yes,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8595969173697416,"(95, 166, 106)","(95, 120, 168)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
752,0.5847562783445156,0.3590067605989764,0.5847562783445156,0.2257495177455391,56848,13262,56848,region_growing,,,,,normal,,-361.5,863.75,percentile,10.75,8726856,7974937,275,18022400,83,83,0,192,274,0.3018181818181818,no,181742,93,1954.215053763441,0.010084228515625,adaptive,31,nominal_complete,4,no,0.0293824783386054,0.9467540598794036,1.530330959868528,no,no,0,,,,,,,no,yes,both tolerable,yes,no,,,no,yes,no,no,0.63671875,0.8095744354916121,"(93, 175, 208)","(116, 131, 233)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
13,0.5717081353089181,0.2779876817970084,0.5717081353089181,0.2937204535119096,24618,6028,24618,region_growing,,,,,normal,,-411.25,994.0,percentile,10.75,12584332,12351738,241,15794176,66,66,0,175,240,0.2738589211618257,no,119381,76,1570.8026315789473,0.0075585456309971,adaptive,31,nominal_complete,4,no,0.0067157929994975,0.9148118201149028,1.527724372752504,no,no,0,,,,,,,no,yes,both tolerable,yes,no,,,no,yes,no,no,0.6953125,1.1031404921008474,"(111, 173, 167)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
538,0.5052235520153705,0.2676596418951038,0.5052235520153705,0.2375639101202667,25252,6841,25252,region_growing,,,,,normal,,-459.25,637.0504760742188,percentile,10.75,12864510,12333039,275,18022400,107,107,0,168,274,0.3890909090909091,no,221131,117,1890.008547008547,0.0122697864879261,adaptive,31,nominal_complete,4,no,0.0228860983790332,0.9001533742331289,1.7375894926613926,no,no,0,,,,,,,no,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
965,0.5927214189208613,0.3619781219075129,0.5927214189208613,0.2307432970133484,41911,9726,41911,region_growing,,,,,normal,,-453.75,703.75,percentile,10.75,12911931,12697873,275,18022400,92,92,0,183,274,0.3345454545454545,no,154659,102,1516.264705882353,0.0085814874822443,adaptive,31,nominal_complete,4,no,0.0042736976859963,0.9475685635552444,1.3346340348042145,no,no,0,,,,,,,no,yes,both tolerable,yes,no,,,no,yes,no,no,1.546875,0.7734375,"(109, 154, 182)","(106, 120, 198)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
