split_name,batch_number,total_batches,num_images,first_img_id,last_img_id,result_file,started_at,finished_at,duration_seconds,duration_minutes,duration_hours
train,1,5,6,28,428,ostios_train_lote_1_summary.csv,2026-06-29T20:28:29,2026-06-29T20:36:34,485.3072786331177,8.088454643885294,0.1348075773980882
train,2,5,6,752,836,ostios_train_lote_2_summary.csv,2026-06-29T20:36:34,2026-06-29T20:42:13,338.9496479034424,5.649160798390707,0.0941526799731784
train,3,5,6,603,793,ostios_train_lote_3_summary.csv,2026-06-29T20:42:13,2026-06-29T20:48:05,352.3437235355377,5.872395392258962,0.0978732565376493
train,4,5,6,550,887,ostios_train_lote_4_summary.csv,2026-06-29T20:48:05,2026-06-29T20:54:53,407.9349703788757,6.798916172981262,0.1133152695496877
train,5,5,6,175,344,ostios_train_lote_5_summary.csv,2026-06-29T20:54:53,2026-06-29T21:01:09,375.3497791290283,6.255829652150472,0.1042638275358412
