variant,return_code,duration_seconds,run_dir,pipeline_run_preserved,command
fixed_m300_maxp99p5,0,1201.0620080830004,,False,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/upper_threshold_reference_train/configs/fixed_m300_maxp99p5.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/upper_threshold_reference_train/pipeline_runs/fixed_m300_maxp99p5 --gpu --downscale-method opencv --opencv-interpolation linear
fixed_m300_maxp99p7,0,1191.7704767649998,,False,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/upper_threshold_reference_train/configs/fixed_m300_maxp99p7.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/upper_threshold_reference_train/pipeline_runs/fixed_m300_maxp99p7 --gpu --downscale-method opencv --opencv-interpolation linear
fixed_m300_maxp99p9,0,1183.7211710340007,,False,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/upper_threshold_reference_train/configs/fixed_m300_maxp99p9.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/upper_threshold_reference_train/pipeline_runs/fixed_m300_maxp99p9 --gpu --downscale-method opencv --opencv-interpolation linear
