IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,artery_left_raw_voxels,artery_right_raw_voxels,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,effective_upper_threshold_hu,lower_threshold_method,lower_threshold_percentile,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_circle_radius_min_px,aorta_circle_radius_max_px,aorta_circle_radius_mean_px,aorta_circle_radius_median_px,aorta_circle_radius_std_px,aorta_circle_radius_p10_px,aorta_circle_radius_p90_px,aorta_circle_radius_min_mm,aorta_circle_radius_max_mm,aorta_circle_radius_mean_mm,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_p10_mm,aorta_circle_radius_p90_mm,aorta_detected_circle_radius_median_mm,aorta_interpolated_circle_radius_median_mm,aorta_circle_radius_first_mm,aorta_circle_radius_last_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_radius_p90_step_change_mm,aorta_circle_mean_hough_accumulator,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,aorta_circle_filter_method,aorta_circle_filter_applied,aorta_circle_original_count,aorta_circle_used_count,aorta_circle_filter_synthetic_tail_count,aorta_circle_filter_trimmed_tail_count,aorta_circle_filter_trim_start_slice,aorta_circle_filter_detected_tail_start_slice,aorta_circle_filter_original_coverage,aorta_circle_filter_used_coverage,aorta_circle_filter_reason,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_initial_voxel_count,aorta_level_set_raw_voxel_count,aorta_level_set_initial_volume_fraction,aorta_level_set_raw_volume_fraction,aorta_level_set_iterations_used,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_slice_area_jump_p95,aorta_segmentation_feedback,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,lcc_per_slice,lcc_mode,aorta_miss_count,configured_aorta_hough_radii_start_px,configured_aorta_hough_radii_end_px,aorta_interpolate_missed_circles,aorta_trajectory_radius_factor,aorta_trajectory_axial_margin_slices,aorta_opening_radius
752,0.6270838205745297,0.3367954496797301,0.6270838205745297,0.2902883708947996,259733,34909,259733,region_growing,11353,23556,,,,,normal,,-300.0,909.0,909.0,fixed,,34636974,31664130,275,72089600,87,87,0,188,274,0.3163636363636363,36.0,52.0,46.18238798238798,46.5,4.229929525813013,41.0,51.229090909090914,11.4609375,16.5546875,14.702596174080549,14.8037109375,1.346637720131877,13.052734375,16.309261363636363,14.8037109375,,13.37109375,15.599609375,5.09375,1.2734375,0.2925870280353115,0.0229885057471264,0.0,robust,False,87,87,0,0,,,0.3163636363636363,0.3163636363636363,coverage_below_tail_threshold,670398,95,7056.821052631579,0.0092995106090198,5878,671495,8.153742009943182e-05,0.0093147277832031,70,0.9606704039916232,1.5166016757533023,0.2313481120923719,adequate,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(187, 355, 208)","(233, 260, 233)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.9,yes,per_slice,5,36.0,60.0,yes,2.25,10,4
13,0.5053155086728607,0.2440515456510806,0.5053155086728607,0.26126396302178,147460,21478,147460,region_growing,12746,8732,,,,,normal,,-300.0,1109.0,1109.0,fixed,,49493898,48693968,241,63176704,92,92,0,149,240,0.3817427385892116,36.0,58.0,42.83178675189545,43.9,3.8535854539638015,38.0,46.54090909090909,12.515625,20.1640625,14.890738362963653,15.262109375,1.3397230679796033,13.2109375,16.180237926136364,15.262109375,,12.515625,15.50546875,6.2578125,1.04296875,0.3079843470622742,0.0543478260869565,0.0108695652173913,robust,False,92,92,0,0,,,0.3817427385892116,0.3817427385892116,coverage_below_tail_threshold,578818,102,5674.686274509804,0.0091618898003922,5293,580014,8.378088226951504e-05,0.0091808208291461,70,0.905467590123528,1.40704188233233,0.1712230215827338,adequate,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(221, 354, 172)","(268, 288, 204)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.9,yes,per_slice,5,36.0,60.0,yes,2.25,10,4
538,0.453513544039305,0.1928849310347954,0.453513544039305,0.2606286130045095,59985,10889,59985,region_growing,8010,2879,,,,,normal,,-300.0,742.0,742.0,fixed,,50147591,48454736,275,72089600,108,108,0,167,274,0.3927272727272727,36.0,58.0,45.95587504059726,47.36666666666667,4.451250677726383,40.2,50.94615384615384,11.4609375,18.46484375,14.630483655502644,15.079622395833333,1.417097383729298,12.798046875,16.219185697115382,15.079622395833333,,18.46484375,15.811848958333332,7.00390625,0.8856178977272733,0.3192506476136141,0.0277777777777777,0.0092592592592592,robust,False,108,108,0,0,,,0.3927272727272727,0.3927272727272727,coverage_below_tail_threshold,819374,118,6943.847457627118,0.0113660500266335,7199,821127,9.986183860085228e-05,0.0113903669877485,70,0.915628266852012,1.7235454970648407,0.0826727197051288,adequate,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(201, 354, 203)","(260, 281, 219)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.9,yes,per_slice,5,36.0,60.0,yes,2.25,10,4
965,0.5670345370908193,0.3391564064548013,0.5670345370908193,0.2278781306360179,187221,27276,187221,region_growing,15644,11632,,,,,normal,,-300.0,812.0,812.0,fixed,,50555295,49997342,275,72089600,91,91,0,184,274,0.3309090909090909,37.0,48.85714285714285,42.50620173477317,43.0,2.4113892650315845,39.0,45.0,14.30859375,18.89397321428571,16.43794520211931,16.62890625,0.9325294423364332,15.08203125,17.40234375,16.62890625,,14.30859375,16.9296875,2.3525390625000018,0.8385847355769245,0.3492398413092212,0.0,0.0,robust,False,91,91,0,0,,,0.3309090909090909,0.3309090909090909,coverage_below_tail_threshold,613230,101,6071.584158415842,0.0085064974698153,5175,614285,7.178566672585227e-05,0.0085211320356889,70,0.9579685862159328,1.3627569342024817,0.0556875980446334,adequate,yes,both tolerable,yes,no,,,no,yes,no,yes,0.38671875,0.0,"(218, 312, 181)","(214, 238, 200)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,yes,per_slice,5,36.0,60.0,yes,2.25,10,4
447,0.5373799149793635,0.314034444851594,0.5373799149793635,0.2233454701277695,142517,19921,142517,region_growing,9667,10254,,,,,normal,,-300.0,1027.0,1027.0,fixed,,46881108,46158035,245,64225280,96,96,0,149,244,0.3918367346938775,36.0,47.57142857142857,42.173207810707815,42.35384615384615,2.510242551682104,38.785714285714285,45.24285714285715,12.515625,16.538504464285715,14.661779277941386,14.724579326923076,0.8727015121082314,13.484095982142858,15.72896205357143,14.724579326923076,,12.515625,15.9921875,2.201822916666668,0.8628497023809548,0.3386484641716162,0.0104166666666666,0.0,robust,False,96,96,0,0,,,0.3918367346938775,0.3918367346938775,coverage_below_tail_threshold,587178,106,5539.415094339623,0.009142474738919,5337,588329,8.309811961894132e-05,0.0091603960309709,70,0.9051995335739892,1.4451272491872342,0.0956242569580255,adequate,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(238, 375, 174)","(242, 277, 194)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.9,yes,per_slice,5,36.0,60.0,yes,2.25,10,4
836,0.7040651466742014,0.3862229612429221,0.7040651466742014,0.3178421854312793,166611,27074,166611,region_growing,13202,13872,,,,,normal,,-300.0,953.0,953.0,fixed,,43640316,41445959,275,72089600,119,119,0,156,274,0.4327272727272727,36.0,49.6,42.95903475609358,43.0,4.038955660088732,37.0,48.2,11.4609375,15.790625,13.67641145555323,13.689453125,1.2858393995985609,11.779296875,15.344921875,13.689453125,,14.0078125,15.40859375,2.228515625,0.7428385416666679,0.3262358016211064,0.0252100840336134,0.0,robust,True,119,114,5,10,165.0,165.0,0.4327272727272727,0.4145454545454545,persistent_tail_trimmed+stable_tail_extrapolated,760482,124,6132.919354838709,0.0105491222034801,6557,761625,9.095625443892044e-05,0.0105649774724786,70,0.9370718060072892,1.6098911083010246,0.1538922949544023,adequate,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(200, 280, 175)","(257, 209, 210)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.9,yes,per_slice,5,36.0,60.0,yes,2.25,10,4
603,0.6607616175862656,0.3835819009100101,0.6607616175862656,0.2771797166762555,204347,33603,204347,region_growing,14360,19243,,,,,normal,,-300.0,1017.0,1017.0,fixed,,34150923,33179183,206,54001664,68,68,0,138,205,0.3300970873786408,36.0,49.8,40.990694762753584,41.266666666666666,2.634035440939124,37.333333333333336,43.6,11.4609375,15.854296875,13.049771965486006,13.137630208333334,0.838569876705229,11.885416666666668,13.88046875,13.137630208333334,,13.052734375,14.113932291666668,2.3876953125,1.4962890624999998,0.2939554083403918,0.0147058823529411,0.0,robust,False,68,68,0,0,,,0.3300970873786408,0.3300970873786408,coverage_below_tail_threshold,557673,78,7149.653846153846,0.0103269595544315,3558,559086,6.588685859754248e-05,0.010353125414802,70,0.9116692716226932,1.8821098130518463,0.1252933492237559,adequate,yes,both tolerable,yes,no,,,no,yes,no,yes,0.318359375,0.0,"(172, 344, 169)","(238, 239, 190)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,yes,per_slice,5,36.0,60.0,yes,2.25,10,4
676,0.5298526955682025,0.2031593424249045,0.5298526955682025,0.3266933531432979,56943,8407,56943,region_growing,5482,2925,,,,,normal,,-300.0,1026.0,1026.0,fixed,,52661432,52005452,275,72089600,147,147,0,128,274,0.5345454545454545,36.0,49.16666666666666,41.89849492910718,42.0,3.105558502282199,37.8,45.85714285714285,13.2890625,18.1494140625,15.466436604689951,15.50390625,1.1463878065065147,13.953515625,16.927734375,15.50390625,,13.2890625,14.02734375,1.4765625,0.8336425781250005,0.3694462084190927,0.0476190476190476,0.0,robust,False,147,147,0,0,,,0.5345454545454545,0.5345454545454545,unchanged,926292,156,5937.769230769231,0.0128491765802556,8133,927462,0.0001128179376775,0.0128654063831676,70,0.966103624042773,1.478443164436967,0.111764105922233,adequate,yes,both tolerable,yes,no,,,no,yes,no,yes,2.0991950899415626,0.0,"(162, 372, 138)","(202, 323, 188)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,yes,per_slice,5,36.0,60.0,yes,2.25,10,4
44,0.5938568578775654,0.3400885099033947,0.5938568578775654,0.2537683479741707,294857,45492,294857,region_growing,21792,23700,,,,,normal,,-300.0,1058.0,1058.0,fixed,,31376967,30601350,206,54001664,111,111,0,95,205,0.5388349514563107,36.0,56.0,42.89256194256194,42.285714285714285,3.849729553964467,38.0,47.66666666666666,10.6171875,16.515625,12.64995479165401,12.470982142857142,1.1353694582981142,11.20703125,14.057942708333332,12.470982142857142,,12.38671875,13.861328125,4.915364583333332,1.3861328125,0.3175021747446881,0.036036036036036,0.0,robust,True,111,83,5,33,127.0,127.0,0.5388349514563107,0.4029126213592233,persistent_tail_trimmed+stable_tail_extrapolated,498259,86,5793.709302325581,0.0092267341984128,4898,499356,9.070090877199636e-05,0.0092470483872496,70,0.6684649377266162,1.4749852055175463,0.1778397212543553,adequate,yes,both tolerable,yes,no,,,no,yes,no,yes,1.5882029021041213,0.0,"(201, 260, 150)","(227, 181, 178)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,yes,per_slice,5,36.0,60.0,yes,2.25,10,4
129,0.6774092077227594,0.3707287427682811,0.6774092077227594,0.3066804649544782,202614,33473,202614,region_growing,15407,18066,,,,,normal,,-300.0,1069.0,1069.0,fixed,,47467795,46699202,275,72089600,125,125,0,150,274,0.4545454545454545,37.5,52.8,45.73920239760239,47.0,4.194676332144596,39.08,50.1,13.9892578125,19.696875,17.06286651941808,17.533203125,1.5648108973430035,14.578671875,18.6896484375,17.533203125,,14.17578125,18.177556818181817,2.23828125,0.7460937500000012,0.341974707174253,0.0,0.0,robust,False,125,125,0,0,,,0.4545454545454545,0.4545454545454545,unchanged,861141,135,6378.822222222222,0.0119454262473366,8235,862186,0.0001142328435724,0.011959922096946,70,0.9218029350104822,1.414669554385766,0.1620463803931823,adequate,yes,both tolerable,yes,no,,,no,yes,no,yes,0.373046875,0.0,"(193, 320, 168)","(223, 234, 205)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,yes,per_slice,5,36.0,60.0,yes,2.25,10,4
