IMG_ID,baseline_p10p5_dice,baseline_p10p5_status,baseline_p10p5_left_dist,baseline_p10p5_right_dist,baseline_p10p5_voxels,normal_upper_best_dice,normal_upper_best_status,normal_upper_best_left_dist,normal_upper_best_right_dist,normal_upper_best_voxels,fuzzy_best_dice,fuzzy_best_status,fuzzy_best_left_dist,fuzzy_best_right_dist,fuzzy_best_voxels,normal_upper_minus_baseline,fuzzy_minus_baseline,fuzzy_minus_normal_upper
28,0.6716307692307693,both tolerable,1.0737001589130926,0.8375058302035873,24565,0.67185191265802,both tolerable,1.0737001589130926,0.8375058302035873,24543,0.6733610198557821,both tolerable,1.0737001589130926,0.8375058302035873,24214,0.00022114342725076952,0.0017302506250128635,0.001509107197762094
380,0.5565812509947478,both tolerable,2.504064688825013,1.739843048383334,39918,0.563331452068048,both tolerable,2.3495403733114086,1.739843048383334,38940,0.5665653495440729,both tolerable,2.3495403733114086,1.739843048383334,38547,0.006750201073300266,0.009984098549325138,0.0032338974760248718
854,0.6442837978834401,both tolerable,1.2734375,0.63671875,29296,0.6444734876773712,both tolerable,1.2734375,0.63671875,29184,0.6445017567466547,both tolerable,1.2734375,0.63671875,29132,0.00018968979393108043,0.00021795886321451796,2.826906928343753e-05
937,0.6900461183704842,both tolerable,1.390625,2.160392872438078,28017,0.6912923675742336,both tolerable,1.390625,2.160392872438078,27874,0.6911444587852286,both tolerable,1.390625,2.160392872438078,27888,0.0012462492037493833,0.0010983404147443254,-0.00014790878900505788
315,0.6464494715695694,both tolerable,0.0,1.3908992882585445,28030,0.6466133855651353,both tolerable,0.0,1.3908992882585445,27966,0.6462845455975668,both tolerable,0.0,2.029581646585387,27992,0.000163913995565812,-0.000164925972002683,-0.000328839967568495
428,0.6283050999372591,both tolerable,0.0,1.2202077119702048,34057,0.6306882912405115,both tolerable,0.0,1.2202077119702048,34079,0.6336894334464078,both tolerable,0.0,1.2202077119702048,34962,0.0023831913032523744,0.005384333509148687,0.003001142205896312
752,0.6595595633844077,both tolerable,0.0,0.5,44294,0.6617335071441351,both tolerable,0.0,0.5,44027,0.5476344460474604,found but incorrect,14.23387813433725,1.345667690480501,26084,0.002173943759727459,-0.11192511733694732,-0.11409906109667478
13,0.5726352807323002,both tolerable,2.0859375,1.1031404921008474,25395,0.572926728301366,both tolerable,2.0859375,1.1031404921008474,25362,0.5743366559034114,both tolerable,2.0859375,1.1031404921008474,24370,0.00029144756906585023,0.0017013751711112413,0.001409927602045391
538,0.7437853285423102,both tolerable,0.0,0.8095744354916121,22875,0.7438624516562973,both tolerable,0.0,0.8095744354916121,22862,0.7437853285423102,both tolerable,0.0,0.8095744354916121,22875,7.71231139871098e-05,0.0,-7.71231139871098e-05
965,0.6568894068894069,both tolerable,1.546875,1.4820293967437017,34113,0.6584629445269532,both tolerable,1.546875,1.4820293967437017,33610,0.6608749309863272,both tolerable,1.546875,1.4820293967437017,33919,0.0015735376375463073,0.003985524096920323,0.002411986459374016
447,0.4645496183206107,found but incorrect,0.6953125,7.205497169045659,11843,0.4645779894955417,found but incorrect,0.6953125,7.205497169045659,11841,0.4645496183206107,found but incorrect,0.6953125,7.205497169045659,11843,2.837117493098562e-05,0.0,-2.837117493098562e-05
836,0.7473690113464306,both tolerable,0.9004562916672442,0.5,26309,0.7473969529862604,both tolerable,0.9004562916672442,0.5,26307,0.7473690113464306,both tolerable,0.9004562916672442,0.5,26309,2.7941639829776044e-05,0.0,-2.7941639829776044e-05
603,0.4380122508843068,found but incorrect,0.0,27.84537235076125,15403,0.4492497012084458,found but incorrect,0.0,7.171684578422479,14221,0.4493526612813986,found but incorrect,0.0,7.171684578422479,14224,0.011237450324139031,0.011340410397091827,0.00010296007295279574
676,0.4982829802832118,both tolerable,1.1576348337032387,0.8916609243998318,8638,0.498398857980632,both tolerable,1.1576348337032387,0.8916609243998318,8640,0.4989545419344846,both tolerable,1.1576348337032387,0.8916609243998318,8547,0.00011587769742021914,0.0006715616512728007,0.0005556839538525815
44,0.3954117711053089,both tolerable,0.58984375,0.0,103041,0.4902580617822789,both tolerable,0.58984375,0.0,73964,0.6303124351142535,both tolerable,0.58984375,0.0,47476,0.09484629067696998,0.2349006640089446,0.14005437333197462
129,0.7212351742179851,both tolerable,2.23828125,0.5,28970,0.7209582376647774,both tolerable,2.23828125,0.5,28944,0.7212351742179851,both tolerable,2.23828125,0.5,28970,-0.00027693655320770727,0.0,0.00027693655320770727
518,0.6864336845337479,both tolerable,0.0,0.69140625,30100,0.7163980660757454,both tolerable,0.69140625,0.69140625,27633,0.7163661301383678,both tolerable,0.69140625,0.8532541254157887,27571,0.029964381541997542,0.02993244560461994,-3.193593737760292e-05
793,0.7221905988795351,both tolerable,0.8437861682062879,2.7741306352170945,18457,0.7222588573826509,both tolerable,0.8437861682062879,2.7741306352170945,18440,0.73778847067017,both tolerable,0.8437861682062879,2.7741306352170945,16667,6.825850311587e-05,0.015597871790634876,0.015529613287519006
550,0.5415601464796518,both tolerable,0.0,1.6331862610496235,11502,0.5419757365684575,both tolerable,0.0,1.6331862610496235,11406,0.5419757365684575,both tolerable,0.0,1.6331862610496235,11406,0.00041559008880576176,0.00041559008880576176,0.0
631,0.728356795385079,both tolerable,0.0,1.4102374024432909,24470,0.7299260576360127,both tolerable,0.0,1.113000238656758,24129,0.7298586419217761,both tolerable,0.0,1.113000238656758,24136,0.0015692622509336784,0.001501846536697049,-6.74157142366294e-05
330,0.6587634185323618,both tolerable,0.0,1.974511812933532,46201,0.6799826882975515,both tolerable,0.0,1.974511812933532,42989,0.691115301796199,both tolerable,1.91015625,1.974511812933532,41509,0.02121926976518973,0.0323518832638372,0.01113261349864747
90,0.6846914092197111,both tolerable,1.3203125,0.8281342128025279,34037,0.6835386896924506,both tolerable,1.4761542507713454,0.5,33843,0.682867254180834,both tolerable,1.4761542507713454,0.8281342128025279,33747,-0.0011527195272604818,-0.0018241550388770067,-0.0006714355116165249
608,0.679926873857404,both tolerable,1.3680800657879093,0.5,32573,0.6805489478499542,both tolerable,1.3680800657879093,0.5,32523,0.6808479478636547,both tolerable,1.3680800657879093,0.5,32499,0.0006220739925502095,0.0009210740062506328,0.0002990000137004234
887,0.55069926511003,both tolerable,0.7890625,0.0,16428,0.5507989821882951,both tolerable,0.7890625,0.0,16430,0.55069926511003,both tolerable,0.7890625,0.0,16428,9.971707826517129e-05,0.0,-9.971707826517129e-05
175,0.4723669004385201,both tolerable,0.9004562916672442,0.5,39285,0.4725614101772224,both tolerable,0.9004562916672442,0.5,39259,0.4737052110765302,both tolerable,0.9004562916672442,0.5,38773,0.0001945097387023309,0.0013383106380100984,0.0011438008993077675
760,0.7234948335894219,both tolerable,0.0,1.0541954870895625,35686,0.7230455356889859,both tolerable,0.0,1.0541954870895625,35329,0.7224645892351275,both tolerable,0.0,1.0541954870895625,35347,-0.0004492979004360187,-0.0010302443542944406,-0.0005809464538584219
696,0.6309483849311885,both tolerable,0.0,1.739843048383334,18646,0.6312117218389023,both tolerable,0.0,1.739843048383334,18614,0.6320321618467125,both tolerable,0.0,1.739843048383334,18472,0.0002633369077137404,0.0010837769155239707,0.0008204400078102303
194,0.798856206525406,both tolerable,0.8095744354916121,1.345667690480501,32344,0.7988625775150211,both tolerable,0.8095744354916121,1.345667690480501,32341,0.7998582611216699,both tolerable,0.8095744354916121,1.345667690480501,32181,6.3709896150898615e-06,0.0010020545962639016,0.0009956836066488117
