run,variant,threshold_method,lower_threshold_method,lower_threshold_percentile,max_threshold_percentile,fuzzy_object_percentile,fuzzy_dense_percentile,fuzzy_soft_margin_hu,fuzzy_smooth_radius,mean_dice,median_dice,ostia_success_rate,n_images,run_dir
fuzzy_threshold_refined_permissive_p10,percentile_p10p25_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean,fuzzy,percentile,10.25,99.7,99.8,99.97,120.0,0.0,0.6415934834841078,0.6670535958287858,0.9,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-02_16-28-48
fuzzy_threshold_permissive_p10,percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean,fuzzy,percentile,10.0,99.7,99.8,99.97,120.0,0.0,0.6415492955028143,0.6669963700925468,0.9,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-01_21-19-43
fuzzy_threshold_refined_permissive_p10,percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean,fuzzy,percentile,10.0,99.7,99.8,99.97,120.0,0.0,0.6415492955028143,0.6669963700925468,0.9,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-02_15-51-19
normal_threshold_fine_p10_upper,percentile_p10p75_maxp99p8,normal,percentile,10.75,99.8,,,,,0.6407254095611533,0.6667927099010775,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_fine_p10_upper/pipeline_runs/percentile_p10p75_maxp99p8/segmentation/runs/mid_res/2026-07-01_19-34-53
normal_threshold_refined_p10p75_upper,percentile_p10p75_maxp99p8,normal,percentile,10.75,99.8,,,,,0.6407254095611533,0.6667927099010775,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_refined_p10p75_upper/pipeline_runs/percentile_p10p75_maxp99p8/segmentation/runs/mid_res/2026-07-02_11-09-59
fuzzy_threshold_permissive_p10,percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean,fuzzy,percentile,10.5,99.7,99.8,99.97,120.0,1.0,0.6386933420745352,0.6536199490857123,0.9,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-01_23-12-08
fuzzy_threshold_permissive_p10,percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean,fuzzy,percentile,10.0,99.7,99.8,99.97,120.0,1.0,0.6386848401244618,0.6535461665672866,0.9,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-01_22-31-43
fuzzy_threshold_permissive_p10,percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean,fuzzy,percentile,10.0,99.7,99.8,99.99,120.0,1.0,0.6383080745570481,0.658754148705194,0.9,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-02_01-01-58
fuzzy_threshold_permissive_p10,percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean,fuzzy,percentile,10.5,99.7,99.8,99.99,120.0,1.0,0.6382212224742859,0.6587443163724468,0.9,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-02_01-39-32
fuzzy_threshold_percentile_refined,percentile_p10p5,normal,percentile,10.5,99.7,,,,,0.6349333818056558,0.6591614909583847,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p10p5/segmentation/runs/mid_res/2026-07-01_08-45-25
fuzzy_threshold_permissive_p10,percentile_p10p5,normal,percentile,10.5,99.7,,,,,0.6349333818056558,0.6591614909583847,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5/segmentation/runs/mid_res/2026-07-01_20-45-41
normal_threshold_fine_p10_upper,percentile_p10p5,normal,percentile,10.5,99.7,,,,,0.6349333818056558,0.6591614909583847,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_fine_p10_upper/pipeline_runs/percentile_p10p5/segmentation/runs/mid_res/2026-07-01_17-21-11
normal_threshold_percentile_refined_p10_p12,percentile_p10p5,normal,percentile,10.5,99.7,,,,,0.6349333818056558,0.6591614909583847,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_refined_p10_p12/pipeline_runs/percentile_p10p5/segmentation/runs/mid_res/2026-06-30_14-22-45
normal_threshold_fine_p10_upper,percentile_p10p75,normal,percentile,10.75,99.7,,,,,0.6349133403187767,0.6586494441858011,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_fine_p10_upper/pipeline_runs/percentile_p10p75/segmentation/runs/mid_res/2026-07-01_19-01-48
fuzzy_threshold_percentile_refined,percentile_p11p0,normal,percentile,11.0,99.7,,,,,0.6346641005851945,0.6586925413227698,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p11p0/segmentation/runs/mid_res/2026-07-01_09-18-51
normal_threshold_percentile_broad_p9_p16,percentile_p11p0,normal,percentile,11.0,,,,,,0.6346641005851945,0.6586925413227698,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_broad_p9_p16/pipeline_runs/percentile_p11p0/segmentation/runs/mid_res/2026-06-29_18-49-32
normal_threshold_percentile_refined_p10_p12,percentile_p11p0,normal,percentile,11.0,99.7,,,,,0.6346641005851945,0.6586925413227698,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_refined_p10_p12/pipeline_runs/percentile_p11p0/segmentation/runs/mid_res/2026-06-30_14-57-28
normal_threshold_fine_p10_upper,percentile_p10p25,normal,percentile,10.25,99.7,,,,,0.6344234495688893,0.6590630043779266,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_fine_p10_upper/pipeline_runs/percentile_p10p25/segmentation/runs/mid_res/2026-07-01_15-42-10
fuzzy_threshold_percentile_refined,percentile_p10p0,normal,percentile,10.0,99.7,,,,,0.633823571577418,0.6588558228147109,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p10p0/segmentation/runs/mid_res/2026-07-01_08-12-02
fuzzy_threshold_permissive_p10,percentile_p10p0,normal,percentile,10.0,99.7,,,,,0.633823571577418,0.6588558228147109,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0/segmentation/runs/mid_res/2026-07-01_20-10-31
normal_threshold_percentile_broad_p9_p16,percentile_p10p0,normal,percentile,10.0,,,,,,0.633823571577418,0.6588558228147109,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_broad_p9_p16/pipeline_runs/percentile_p10p0/segmentation/runs/mid_res/2026-06-29_18-15-27
