experiment,variant,threshold_method,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,max_threshold_percentile,fuzzy_object_percentile,fuzzy_dense_percentile,fuzzy_soft_margin_hu,fuzzy_smooth_radius,fuzzy_smooth_mode,fuzzy_mask_strategy,fuzzy_dense_membership_threshold,run_dir,return_code,duration_seconds,duration_minutes,n_images,mean_min_threshold_hu,mean_max_threshold_hu,std_min_threshold_hu,mean_object_center_hu,mean_dice,median_dice,ostia_success_rate,both_correct_n,both_tolerable_n,found_wrong_n,not_found_n
fuzzy_threshold_object_argmax_refined,percentile_p10p25_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.25,,99.7,99.8,99.94,100.0,0.0,mean,object_argmax,0.5,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_08-42-03,0,2235.4496664899634,37.25749444149939,30,-114.825,761.1416666666667,10.151046744055511,,0.6422115003474719,0.6668260090432644,0.9,0,27,3,0
fuzzy_threshold_object_argmax_refined,percentile_p10p25_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.25,,99.7,99.8,99.94,120.0,0.0,mean,object_argmax,0.5,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_09-55-05,0,2253.463800405036,37.5577300067506,30,-114.825,761.1416666666667,10.151046744055511,,0.6422115003474719,0.6668260090432644,0.9,0,27,3,0
fuzzy_threshold_object_argmax_refined,percentile_p10p25_thfuzzy_objp99p85_densep99p96_m100p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.25,,99.7,99.85,99.96,100.0,0.0,mean,object_argmax,0.5,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p85_densep99p96_m100p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_15-58-56,0,2131.3765811140183,35.52294301856697,30,-114.825,761.1416666666667,10.151046744055511,,0.64212090695363,0.6670638861641978,0.9,0,27,3,0
fuzzy_threshold_object_argmax_refined,percentile_p10p25_thfuzzy_objp99p85_densep99p96_m120p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.25,,99.7,99.85,99.96,120.0,0.0,mean,object_argmax,0.5,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p85_densep99p96_m120p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_17-09-07,0,2332.9584794540424,38.88264132423404,30,-114.825,761.1416666666667,10.151046744055511,,0.64212090695363,0.6670638861641978,0.9,0,27,3,0
fuzzy_threshold_object_argmax_refined,percentile_p10p5_thfuzzy_objp99p85_densep99p96_m100p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.5,,99.7,99.85,99.96,100.0,0.0,mean,object_argmax,0.5,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p85_densep99p96_m100p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_16-34-27,0,2079.4924733829685,34.65820788971614,30,-113.81666666666666,761.1416666666667,10.168819255816834,,0.6417943225467461,0.6670859263036603,0.9,0,27,3,0
fuzzy_threshold_object_argmax_refined,percentile_p10p5_thfuzzy_objp99p85_densep99p96_m120p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.5,,99.7,99.85,99.96,120.0,0.0,mean,object_argmax,0.5,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p85_densep99p96_m120p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_17-47-59,0,2041.6460538350511,34.027434230584184,30,-113.81666666666666,761.1416666666667,10.168819255816834,,0.6417943225467461,0.6670859263036603,0.9,0,27,3,0
fuzzy_threshold_percentile_refined,percentile_p10p5,normal,percentile,10.5,,99.7,,,,,,,,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p10p5/segmentation/runs/mid_res/2026-07-01_08-45-25,0,2005.8815263109864,33.43135877184977,30,-113.81666666666666,761.1416666666667,10.168819255816834,,0.6349333818056558,0.6591614909583847,0.9333333333333332,0,28,2,0
fuzzy_threshold_percentile_refined,percentile_p11p0,normal,percentile,11.0,,99.7,,,,,,,,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p11p0/segmentation/runs/mid_res/2026-07-01_09-18-51,0,1983.6226774629904,33.060377957716504,30,-111.80833333333334,761.1416666666667,10.316475635614612,,0.6346641005851945,0.6586925413227698,0.9333333333333332,0,28,2,0
fuzzy_threshold_percentile_refined,percentile_p10p0,normal,percentile,10.0,,99.7,,,,,,,,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p10p0/segmentation/runs/mid_res/2026-07-01_08-12-02,0,2002.7369559549843,33.378949265916404,30,-115.88333333333334,761.1416666666667,10.1192743140839,,0.633823571577418,0.6588558228147109,0.9333333333333332,0,28,2,0
fuzzy_threshold_percentile_refined,percentile_p11p5,normal,percentile,11.5,,99.7,,,,,,,,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p11p5/segmentation/runs/mid_res/2026-07-01_09-51-55,0,2077.3520389469923,34.62253398244987,30,-109.88333333333334,761.1416666666667,10.437361052829706,,0.6322837370448415,0.6574613666069068,0.9333333333333332,0,28,2,0
