variant,segmentation_attempted,proceeded_with_bad_ostia,dice_artery,artery_voxels,raw_artery_voxels,level_set_artery_voxels,morphology_artery_voxels,level_set_morphology_artery_voxels,dice_without_level_set_without_morphology,dice_without_level_set_with_morphology,dice_with_level_set_without_morphology,dice_with_level_set_with_morphology,best_segmentation_case,best_dice_artery,segmentation_error
baseline_original_threshold,True,False,0.7765936520058782,42286,11851,1844,42286,5981,0.41456792769620976,0.7765936520058782,0.0802105308945388,0.2372894883869423,region_growing_with_morphology,0.7765936520058782,
fuzzy_threshold_only,True,False,0.7805088199336322,41750,11579,1527,41750,4664,0.4074020892414833,0.7805088199336322,0.06688274714204372,0.1905776757720445,region_growing_with_morphology,0.7805088199336322,
