variant,ostia_status,ostia_found,both_correct,both_tolerable,left_dist_mm,right_dist_mm,ostia_left,ostia_right,num_circles,aorta_voxels,ostia_error
baseline_original_threshold,both_tolerable,True,False,True,0.734375,1.4417396718027842,"(91, 144, 115)","(99, 103, 169)",165,433211,
fuzzy_threshold_only,both_tolerable,True,False,True,0.734375,1.1526548838442494,"(91, 144, 115)","(100, 102, 168)",165,434199,
