IMG_ID,cpu_status,gpu_status,status_equal,cpu_left_ostium,gpu_left_ostium,left_distance_voxels_cpu_gpu,left_distance_mm_cpu_gpu,cpu_right_ostium,gpu_right_ostium,right_distance_voxels_cpu_gpu,right_distance_mm_cpu_gpu,cpu_left_dist_to_label_mm,gpu_left_dist_to_label_mm,cpu_right_dist_to_label_mm,gpu_right_dist_to_label_mm,cpu_both_correct,gpu_both_correct,cpu_both_tolerable,gpu_both_tolerable,cpu_artery_dice,gpu_artery_dice,artery_dice_delta_gpu_minus_cpu,cpu_artery_voxels,gpu_artery_voxels,artery_voxel_delta_gpu_minus_cpu
518,both_tolerable,both_tolerable,True,"(108, 162, 163)","(108, 161, 165)",2.23606797749979,1.2157477544865392,"(126, 128, 193)","(127, 127, 194)",1.7320508075688772,1.0982191061341653,0.0,0.5,0.8532541254157887,0.0,False,False,True,True,0.6991685415240145,0.6991685415240145,0.0,29108,29108,0
793,both_tolerable,both_tolerable,True,"(97, 148, 141)","(97, 148, 141)",0.0,0.0,"(109, 116, 181)","(111, 115, 182)",2.449489742783178,1.59996108961476,0.8437861682062879,0.8437861682062879,2.7741306352170945,1.3870653176085472,False,False,True,True,0.7032092353721527,0.7032092353721527,0.0,20507,20507,0
550,both_tolerable,both_tolerable,True,"(97, 157, 200)","(97, 157, 200)",0.0,0.0,"(113, 127, 211)","(115, 126, 213)",3.0,1.8485933471916558,0.6953125,0.6953125,1.6331862610496237,0.0,False,False,True,True,0.5430394672955539,0.5430394672955539,0.0,11390,11390,0
631,both_tolerable,both_tolerable,True,"(95, 132, 153)","(95, 132, 153)",0.0,0.0,"(123, 95, 199)","(124, 95, 199)",1.0,0.703125,0.0,0.0,1.113000238656758,0.8627773557674077,False,False,True,True,0.7278096452092628,0.7278096452092628,0.0,25082,25082,0
330,both_tolerable,both_tolerable,True,"(104, 141, 195)","(109, 138, 199)",7.0710678118654755,4.217103990234664,"(119, 113, 222)","(119, 113, 221)",1.0,0.5,0.0,3.0179819966380266,1.9745118129335317,2.0746343451354567,False,False,True,True,0.6172518321506139,0.6176966259486977,0.00044479379808382014,52841,52779,-62
90,both_tolerable,both_tolerable,True,"(88, 156, 157)","(88, 156, 157)",0.0,0.0,"(113, 120, 186)","(114, 120, 187)",1.4142135623730951,0.8281342128025279,1.3203125,1.3203125,0.5,0.0,False,False,True,True,0.6946323618414859,0.6946323618414859,0.0,36045,36045,0
608,both_tolerable,both_tolerable,True,"(92, 126, 142)","(92, 126, 141)",1.0,0.5,"(97, 81, 174)","(97, 80, 174)",1.0,0.63671875,1.3680800657879093,1.2734375,0.0,0.0,False,False,True,True,0.6697490323823535,0.6697490323823535,0.0,34972,34972,0
887,both_tolerable,both_tolerable,True,"(106, 164, 190)","(106, 164, 189)",1.0,0.5,"(128, 128, 208)","(128, 128, 208)",0.0,0.0,0.7890625,0.7890625,0.0,0.0,False,False,True,True,0.5510871109847947,0.5510871109847947,0.0,16564,16564,0
175,both_tolerable,both_tolerable,True,"(98, 197, 169)","(98, 197, 169)",0.0,0.0,"(131, 162, 191)","(132, 162, 192)",1.4142135623730951,0.8095744354916121,0.9004562916672442,0.9004562916672442,0.5,0.0,False,False,True,True,0.46006467752761,0.46006467752761,0.0,41674,41674,0
760,both_tolerable,found_but_wrong,False,"(88, 165, 197)","(108, 126, 227)",53.113086899558006,32.43926115161226,"(107, 127, 225)","(56, 68, 162)",100.25467570143549,60.0961631730762,0.0,0.0,1.0541954870895625,46.52807032453635,False,False,True,False,0.7220396099770737,0.35984335857640587,-0.36219625140066786,37153,34205,-2948
696,found_but_wrong,found_but_wrong,True,"(99, 137, 163)","(99, 137, 163)",0.0,0.0,"(130, 53, 171)","(130, 53, 171)",0.0,0.0,0.0,0.0,29.660088084753095,29.660088084753095,False,False,False,False,0.1741459611809623,0.1741459611809623,0.0,79971,79971,0
194,both_tolerable,both_tolerable,True,"(89, 155, 168)","(90, 156, 168)",1.4142135623730951,0.9004562916672442,"(122, 122, 211)","(123, 122, 212)",1.4142135623730951,0.8095744354916121,0.8095744354916121,0.8095744354916121,1.345667690480501,0.8095744354916121,False,False,True,True,0.7902734612921866,0.7902734612921866,0.0,34126,34126,0
305,both_tolerable,both_tolerable,True,"(98, 161, 177)","(98, 161, 177)",0.0,0.0,"(119, 129, 217)","(119, 129, 218)",1.0,0.5,2.526628207247012,2.526628207247012,0.0,0.0,False,False,True,True,0.6878880598350242,0.6878880598350242,0.0,29707,29707,0
344,both_tolerable,both_tolerable,True,"(97, 162, 176)","(97, 162, 176)",0.0,0.0,"(115, 134, 218)","(114, 134, 219)",1.4142135623730951,0.8564224849081498,2.4154905767902513,2.4154905767902513,0.0,0.0,False,False,True,True,0.7436628975159455,0.7436628975159455,0.0,34847,34847,0
