IMG_ID,preprocess_seconds,cpu_aorta_circles_seconds,gpu_aorta_circles_seconds,aorta_circles_delta_gpu_minus_cpu_seconds,aorta_circles_speedup_cpu_over_gpu,cpu_aorta_mask_seconds,gpu_aorta_mask_seconds,aorta_mask_delta_gpu_minus_cpu_seconds,aorta_mask_speedup_cpu_over_gpu,cpu_aorta_surface_seconds,gpu_aorta_surface_seconds,aorta_surface_delta_gpu_minus_cpu_seconds,aorta_surface_speedup_cpu_over_gpu,cpu_artery_postprocessing_seconds,gpu_artery_postprocessing_seconds,artery_postprocessing_delta_gpu_minus_cpu_seconds,artery_postprocessing_speedup_cpu_over_gpu,cpu_artery_region_growing_seconds,gpu_artery_region_growing_seconds,artery_region_growing_delta_gpu_minus_cpu_seconds,artery_region_growing_speedup_cpu_over_gpu,cpu_artery_total_seconds,gpu_artery_total_seconds,artery_total_delta_gpu_minus_cpu_seconds,artery_total_speedup_cpu_over_gpu,cpu_backend_total_seconds,gpu_backend_total_seconds,backend_total_delta_gpu_minus_cpu_seconds,backend_total_speedup_cpu_over_gpu,cpu_ostia_detection_seconds,gpu_ostia_detection_seconds,ostia_detection_delta_gpu_minus_cpu_seconds,ostia_detection_speedup_cpu_over_gpu,cpu_vesselness_artery_seconds,gpu_vesselness_artery_seconds,vesselness_artery_delta_gpu_minus_cpu_seconds,vesselness_artery_speedup_cpu_over_gpu,cpu_vesselness_ostios_seconds,gpu_vesselness_ostios_seconds,vesselness_ostios_delta_gpu_minus_cpu_seconds,vesselness_ostios_speedup_cpu_over_gpu
28,14.991987472996698,36.031009134007036,35.5651041539968,-0.4659049800102366,1.0131000594850748,22.184166609993554,22.18119759800902,-0.002969011984532699,1.0001338526457562,0.17122676700819284,0.17097625500173308,-0.0002505120064597577,1.0014651859491086,2.9703846109914593,2.9651856620039325,-0.005198948987526819,1.0017533300036305,0.09083568699134048,0.09372022601019125,0.0028845390188507736,0.9692218089771028,112.0892763769807,3.699571574019501,-108.3897048029612,30.29790723989109,234.0773517619964,67.4212600759929,-166.6560916860035,3.471862606812146,5.273751337008434,5.200529266992817,-0.07322207001561765,1.0140797342455796,109.0280560789979,0.6406656860053772,-108.38739039299253,170.17932825277427,58.22491589499987,0.5004095900076209,-57.724506304992246,116.35451649540359
380,11.024841654012562,30.64267191500403,30.705958931997884,0.0632870169938542,0.9979389337055387,13.435195451005711,13.447057283003232,0.011861831997521222,0.9991178864083137,0.13782158700632863,0.13833879999583587,0.000517212989507243,0.9962612586669625,2.2234792490053223,2.223763283996959,0.0002840349916368723,0.9998722728297202,0.12633740300952923,0.12310832100047264,-0.003229082009056583,1.026229599939424,81.73935584201536,2.8488582389982184,-78.89049760301714,28.69197025077613,172.6020861059951,51.543055960995844,-121.05903014499927,3.348697179239978,3.951659168000333,3.9634274240088416,0.011768256008508615,0.9970307880655966,79.3895391900005,0.5019866340007866,-78.88755255599972,158.15070325134616,42.61764278600458,0.36194781299855094,-42.25569497300603,117.74526949876943
854,14.829611067005317,62.828063831009786,62.92494639700453,0.09688256599474698,0.998460347262221,92.99985565399402,92.44320866699854,-0.5566469869954744,1.0060215022284724,0.2390809460048331,0.22790729299595114,-0.011173653008881956,1.0490271849663033,2.9708034960058285,2.9685073729924625,-0.0022961230133660138,1.0007734941251136,0.10356362200400326,0.1002307379967533,-0.003332884007249959,1.0332521148089113,112.00809281200054,3.686983767984202,-108.32110904401634,30.379328974708,330.97755741499714,164.89541794398974,-166.0821394710074,2.0071968132396543,5.086134495999431,5.083242801993038,-0.0028916940063936636,1.0005688679685456,108.93372569399071,0.6182456569949863,-108.31548003699572,176.19812522981314,57.713684558999375,0.4262383629975375,-57.28744619600184,135.40237005680507
937,14.827456839993829,23.219700022003963,23.203355969002587,-0.01634405300137587,1.0007043831514377,14.029381111002294,14.02449362000334,-0.004887490998953581,1.0003484967893588,0.16450539100333117,0.1597033899888629,-0.00480200101446826,1.030068247235097,2.9736078860005364,2.972675714001525,-0.0009321719990111887,1.000313580117273,0.10273521300405264,0.09676077199401334,-0.0059744410100393,1.0617444537380183,111.95112056101789,3.7004677310033003,-108.25065283001459,30.25323518512748,211.9101459980011,46.33364854499814,-165.57649745300296,4.573569158755089,4.6707560239883605,4.713358377004624,0.042602353016263805,0.9909613592668636,108.8747774620133,0.6310312450077618,-108.24374621700554,172.53468560130352,57.771635454992065,0.42899004099308513,-57.34264541399898,134.66894317932028
315,14.814190696997684,44.19427547798841,44.05489941999258,-0.13937605799583253,1.0031636903007566,29.375632134993793,29.196696354003507,-0.17893578099028673,1.0061286310896524,0.20634097899892367,0.2052639379980974,-0.0010770410008262843,1.005247102882905,2.975932212997577,2.9707957040081965,-0.005136508989380673,1.0017290010829256,0.09768474100565072,0.09899451200908516,0.0013097710034344345,0.9867692564279298,113.94591347000096,3.726172401016811,-110.21974106898415,30.579882304669265,249.23658522100595,80.29703157499898,-168.93955364600697,3.1039327398823473,2.583423654999933,2.5898671970062423,0.006443542006309144,0.9975120183715375,110.87229651599773,0.6563821849995293,-110.2159143309982,168.9142378476912,58.82689441301045,0.4201421189936809,-58.40675229401677,140.01665568287197
428,14.904890564997913,59.52399939899624,59.35913936900033,-0.1648600299959071,1.0027773318775912,36.168307986998116,36.06307971800561,-0.10522826899250504,1.0029178946949437,0.23134667800331954,0.22312807399430312,-0.008218604009016417,1.0368335721359125,2.966977127987775,2.9665114850067766,-0.00046564298099838197,1.000156966518873,0.09304695899481885,0.09129367099376395,-0.001753288001054898,1.0192049238678842,113.81103510298999,3.70852747700701,-110.10250762598298,30.689009535084228,273.48756192399014,105.08693087400752,-168.40063104998262,2.602488812351787,5.185454612990725,5.200092386003234,0.01463777301250957,0.9971850936625839,110.7510110160074,0.6507223210064694,-110.10028869500093,170.1970371090226,58.46486490499228,0.42946456799109,-58.03540033700119,136.13431529048805
752,14.77889197600598,25.48995300900424,25.449267998992582,-0.04068501001165714,1.0015986711292941,29.836702782005887,29.58012630099256,-0.256576481013326,1.0086739481232274,0.18651695699372794,0.18674278400430921,0.00022582701058126986,0.9987907055590642,2.9636691000050632,2.963785961997928,0.00011686199286486953,0.9999605700295624,0.19691553100710735,0.1956886350089917,-0.0012268959981156513,1.0062696333798806,105.70182648001355,3.7967995310173137,-101.90502694899624,27.83971753486069,219.17361792101292,62.2610206919926,-156.91259722902032,3.520238111823966,2.731305360997794,2.737972697010264,0.006667336012469605,0.9975648639521679,102.54124184900138,0.6373249340103939,-101.90391691499099,160.89319023462068,55.12534269200114,0.4066816909908084,-54.71866100101033,135.54911350372802
13,13.028803847002564,22.15914748099749,22.197644061001483,0.038496580003993586,0.9982657357736614,10.803688122003223,10.904629484997713,0.10094136299449019,0.9907432560516282,0.14324678800767288,0.14086658899032045,-0.0023801990173524246,1.0168968314943438,2.6070233850041404,2.606579758998123,-0.00044362600601743907,1.000170194679248,0.08777099700819235,0.08663321100175381,-0.0011377860064385459,1.0131333699084004,100.5867408910126,3.2724159140052507,-97.31432497700735,30.737761804825155,187.2903950129985,39.17415522100055,-148.11623979199794,4.780968318433464,2.199416030998691,2.1934837510052603,-0.005932279993430711,1.0027045014537774,97.89194650900026,0.5792029440053739,-97.31274356499489,169.0114795205392,51.30845141899772,0.37479368499771226,-50.93365773400001,136.89785466719084
538,14.771500918010133,37.05586360899906,36.94706795200182,-0.1087956569972448,1.0029446357458887,28.243064574999153,28.220964866995928,-0.022099708003224805,1.0007830954082322,0.18910730299830902,0.19026401100563817,0.0011567080073291436,0.9939205107617811,2.967785350003396,2.9699282799992943,0.0021429299958981574,0.9992784573249363,0.09665484799188562,0.09581547899870202,-0.0008393689931835979,1.008760265063174,113.10580599399691,3.6936546500073746,-109.41215134398954,30.621651646228237,239.70095578199835,72.11725569301052,-167.58370008898783,3.3237670163484845,2.56272428399825,2.5444633000006434,-0.018260983997606672,1.0071767527547368,110.04136579600163,0.6279108910093782,-109.41345490499225,175.24997156699754,58.44145364400174,0.41739801899529994,-58.02405562500644,140.01373026319948
965,14.807784233998973,26.338560393007356,26.356770029990003,0.01820963698264677,0.9993091096912889,13.82698079101101,13.75316213699989,-0.07381865401112009,1.0053673950234707,0.16602223299560137,0.16261868899164256,-0.003403544003958814,1.0209295993287324,2.9671097139944322,2.9986217510013375,0.0315120370069053,0.9894911597315058,0.08966567199968267,0.08692387999326456,-0.002741792006418109,1.031542448480562,113.28102137798851,3.7202437889936846,-109.56077758899482,30.449891943406943,216.71098778799933,49.282378281001,-167.42860950699833,4.397332177281392,4.7709232670022175,4.7616899570130045,-0.009233309989213012,1.0019390825678631,110.2242459919944,0.6346981579990825,-109.58954783399531,173.66403951680246,58.22428060500533,0.4231465880002361,-57.8011340170051,137.59836958669473
