variant,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_mode,morphology_closing_radius,morphology_dilation_radius,morphology_base_dilation_radius,morphology_max_dilation_radius,morphology_support_percentile,morphology_support_factor,morphology_local_max_radius,vesselness_sigmas,vesselness_alpha,vesselness_beta,vesselness_gamma,rg_min_vesselness_fraction,rg_threshold_divisor,rg_comparison_window,rg_relaxed_floor_factor,fc_alpha,fc_sigma_hu,fc_candidate_min_vesselness,fc_vesselness_floor,fc_vesselness_weight,fc_seed_search_radius,fc_max_seeds_per_ostium,fc_max_candidate_voxels,fc_max_processed_voxels,fc_grow_each_ostium_separately,recovery
rg_gamma65_floor065__conditioned_p10_f050,rg_gamma65_floor065,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.065,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_floor065__conditioned_p10_f075,rg_gamma65_floor065,gamma65,region_growing,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.065,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_floor090__current_c3_d2,rg_gamma65_floor090,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.09,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_floor090__conditioned_p10_f025,rg_gamma65_floor090,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.09,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_floor090__conditioned_p10_f050,rg_gamma65_floor090,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.09,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_floor090__conditioned_p10_f075,rg_gamma65_floor090,gamma65,region_growing,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.09,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_divisor6__current_c3_d2,rg_gamma65_divisor6,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,6,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_divisor6__conditioned_p10_f025,rg_gamma65_divisor6,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,6,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_divisor6__conditioned_p10_f050,rg_gamma65_divisor6,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,6,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_divisor6__conditioned_p10_f075,rg_gamma65_divisor6,gamma65,region_growing,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,6,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_divisor8__current_c3_d2,rg_gamma65_divisor8,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,8,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_divisor8__conditioned_p10_f025,rg_gamma65_divisor8,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,8,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_divisor8__conditioned_p10_f050,rg_gamma65_divisor8,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,8,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_divisor8__conditioned_p10_f075,rg_gamma65_divisor8,gamma65,region_growing,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,8,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_window3__current_c3_d2,rg_gamma65_window3,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,3,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_window3__conditioned_p10_f025,rg_gamma65_window3,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,3,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_window3__conditioned_p10_f050,rg_gamma65_window3,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,3,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_window3__conditioned_p10_f075,rg_gamma65_window3,gamma65,region_growing,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,3,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_relax090__current_c3_d2,rg_gamma65_relax090,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.9,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_relax090__conditioned_p10_f025,rg_gamma65_relax090,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.9,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_relax090__conditioned_p10_f050,rg_gamma65_relax090,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.9,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_relax090__conditioned_p10_f075,rg_gamma65_relax090,gamma65,region_growing,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.9,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
rg_gamma65_recovery__current_c3_d2,rg_gamma65_recovery,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,"{""min_branch_voxels"": 500, ""rg_overrides"": {""max_seed_candidates"": 8, ""min_vesselness_fraction"": 0.065, ""seed_candidate_radius"": 3, ""seed_min_vesselness_fraction"": 0.01, ""threshold_divisor"": 6}}"
rg_gamma65_recovery__conditioned_p10_f025,rg_gamma65_recovery,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,"{""min_branch_voxels"": 500, ""rg_overrides"": {""max_seed_candidates"": 8, ""min_vesselness_fraction"": 0.065, ""seed_candidate_radius"": 3, ""seed_min_vesselness_fraction"": 0.01, ""threshold_divisor"": 6}}"
rg_gamma65_recovery__conditioned_p10_f050,rg_gamma65_recovery,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,"{""min_branch_voxels"": 500, ""rg_overrides"": {""max_seed_candidates"": 8, ""min_vesselness_fraction"": 0.065, ""seed_candidate_radius"": 3, ""seed_min_vesselness_fraction"": 0.01, ""threshold_divisor"": 6}}"
rg_gamma65_recovery__conditioned_p10_f075,rg_gamma65_recovery,gamma65,region_growing,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,"{""min_branch_voxels"": 500, ""rg_overrides"": {""max_seed_candidates"": 8, ""min_vesselness_fraction"": 0.065, ""seed_candidate_radius"": 3, ""seed_min_vesselness_fraction"": 0.01, ""threshold_divisor"": 6}}"
fc_current__current_c3_d2,fc_current,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
fc_current__conditioned_p10_f025,fc_current,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
fc_current__conditioned_p10_f050,fc_current,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
fc_current__conditioned_p10_f075,fc_current,current,fuzzy_connectedness,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null
fc_floor020__current_c3_d2,fc_floor020,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,null
fc_floor020__conditioned_p10_f025,fc_floor020,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,null
fc_floor020__conditioned_p10_f050,fc_floor020,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,null
fc_floor020__conditioned_p10_f075,fc_floor020,current,fuzzy_connectedness,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,null
fc_floor024__current_c3_d2,fc_floor024,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.024,0.024,0.9,2,4,500000,500000,False,null
fc_floor024__conditioned_p10_f025,fc_floor024,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.024,0.024,0.9,2,4,500000,500000,False,null
fc_floor024__conditioned_p10_f050,fc_floor024,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.024,0.024,0.9,2,4,500000,500000,False,null
fc_floor024__conditioned_p10_f075,fc_floor024,current,fuzzy_connectedness,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.024,0.024,0.9,2,4,500000,500000,False,null
fc_candidate024_only__current_c3_d2,fc_candidate024_only,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.024,0.018,0.9,2,4,500000,500000,False,null
fc_candidate024_only__conditioned_p10_f025,fc_candidate024_only,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.024,0.018,0.9,2,4,500000,500000,False,null
fc_candidate024_only__conditioned_p10_f050,fc_candidate024_only,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.024,0.018,0.9,2,4,500000,500000,False,null
fc_candidate024_only__conditioned_p10_f075,fc_candidate024_only,current,fuzzy_connectedness,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.024,0.018,0.9,2,4,500000,500000,False,null
fc_affinity_floor024_only__current_c3_d2,fc_affinity_floor024_only,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.018,0.024,0.9,2,4,500000,500000,False,null
fc_affinity_floor024_only__conditioned_p10_f025,fc_affinity_floor024_only,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.018,0.024,0.9,2,4,500000,500000,False,null
fc_affinity_floor024_only__conditioned_p10_f050,fc_affinity_floor024_only,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.018,0.024,0.9,2,4,500000,500000,False,null
fc_affinity_floor024_only__conditioned_p10_f075,fc_affinity_floor024_only,current,fuzzy_connectedness,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.018,0.024,0.9,2,4,500000,500000,False,null
fc_alpha017__current_c3_d2,fc_alpha017,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.17,100,0.018,0.018,0.9,2,4,500000,500000,False,null
fc_alpha017__conditioned_p10_f025,fc_alpha017,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.17,100,0.018,0.018,0.9,2,4,500000,500000,False,null
fc_alpha017__conditioned_p10_f050,fc_alpha017,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.17,100,0.018,0.018,0.9,2,4,500000,500000,False,null
fc_alpha017__conditioned_p10_f075,fc_alpha017,current,fuzzy_connectedness,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.17,100,0.018,0.018,0.9,2,4,500000,500000,False,null
fc_floor020_recovery__current_c3_d2,fc_floor020_recovery,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,"{""fc_overrides"": {""alpha"": 0.15, ""candidate_min_vesselness"": 0.016, ""max_seeds_per_ostium"": 8, ""seed_min_vesselness"": 0.012, ""seed_search_radius"": 4, ""vesselness_floor"": 0.016}, ""min_branch_voxels"": 500}"
fc_floor020_recovery__conditioned_p10_f025,fc_floor020_recovery,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,"{""fc_overrides"": {""alpha"": 0.15, ""candidate_min_vesselness"": 0.016, ""max_seeds_per_ostium"": 8, ""seed_min_vesselness"": 0.012, ""seed_search_radius"": 4, ""vesselness_floor"": 0.016}, ""min_branch_voxels"": 500}"
fc_floor020_recovery__conditioned_p10_f050,fc_floor020_recovery,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,"{""fc_overrides"": {""alpha"": 0.15, ""candidate_min_vesselness"": 0.016, ""max_seeds_per_ostium"": 8, ""seed_min_vesselness"": 0.012, ""seed_search_radius"": 4, ""vesselness_floor"": 0.016}, ""min_branch_voxels"": 500}"
fc_floor020_recovery__conditioned_p10_f075,fc_floor020_recovery,current,fuzzy_connectedness,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,"{""fc_overrides"": {""alpha"": 0.15, ""candidate_min_vesselness"": 0.016, ""max_seeds_per_ostium"": 8, ""seed_min_vesselness"": 0.012, ""seed_search_radius"": 4, ""vesselness_floor"": 0.016}, ""min_branch_voxels"": 500}"
