variant,images,valid_dice_images,ostia_success_rate,mean_dice,mean_dice_before_morphology,median_dice_before_morphology,mean_dice_after_morphology,mean_dice_morphology_delta,median_dice_morphology_delta,mean_recall_before_morphology,mean_recall_after_morphology,mean_precision_before_morphology,mean_precision_after_morphology,median_dice,std_dice,mean_dice_success_ostia,zero_dice_rate,processed_limit_hit_rate,candidate_limit_hit_rate,error_count,mean_vesselness_seconds,mean_segmentation_seconds,mean_morphology_seconds,mean_recovery_triggered_branches,mean_recovery_accepted_branches,mean_recovery_added_voxels,mean_conditioned_acceptance_rate
fc_floor020_recovery__conditioned_p10_f050,30,30,0.9333333333333333,0.6070999491371426,0.3505447899425007,0.37050174841939726,0.6070999491371426,0.25655515919464195,0.26957160452440354,0.22361695645480822,0.5773346886132806,0.8551953814670618,0.669421337495314,0.6492108998505297,0.14896261636525376,0.6335574940499835,0.03333333333333333,0.0,0.0,0,0.38403368326667076,1.8461925530333094,2.186058141633369,0.16666666666666666,0.16666666666666666,1.4333333333333333,0.7748310612657379
fc_floor020__conditioned_p10_f050,30,30,0.9333333333333333,0.6070971850249358,0.3505393629024897,0.37050174841939726,0.6070971850249358,0.2565578221224462,0.26957160452440354,0.22361083931151418,0.577315915193979,0.8553032863154701,0.669495085537458,0.6492108998505297,0.148962595201218,0.6335458967013344,0.03333333333333333,0.0,0.6333333333333333,0,0.38403368326667076,1.6985630108999128,2.181886115399993,0.0,0.0,0.0,0.7748186861124103
fc_floor020__conditioned_p10_f025,30,30,0.9333333333333333,0.6068322895681991,0.3505393629024897,0.37050174841939726,0.6068322895681991,0.25629292666570935,0.2671943311840427,0.22361083931151418,0.5868281661116206,0.8553032863154701,0.6567265103785436,0.6475733334816559,0.14838564474529425,0.6331873805000969,0.03333333333333333,0.0,0.6333333333333333,0,0.38403368326667076,1.6985630108999128,2.1841060284667795,0.0,0.0,0.0,0.8479350945748175
fc_floor020_recovery__conditioned_p10_f025,30,30,0.9333333333333333,0.6068208236970299,0.3505447899425007,0.37050174841939726,0.6068208236970299,0.2562760337545292,0.2671943311840427,0.22361695645480822,0.586837192442946,0.8551953814670618,0.6566327760993176,0.6475733334816559,0.1483959089709439,0.6331841975583502,0.03333333333333333,0.0,0.0,0,0.38403368326667076,1.8461925530333094,2.1979453182333146,0.16666666666666666,0.16666666666666666,1.4333333333333333,0.8482944839950787
fc_floor020_recovery__conditioned_p10_f075,30,30,0.9333333333333333,0.606524838601271,0.3505447899425007,0.37050174841939726,0.606524838601271,0.2559800486587704,0.26900423513390864,0.22361695645480822,0.566803050393222,0.8551953814670618,0.6824842976840041,0.6502123356249444,0.14920766047065664,0.6329906861979158,0.03333333333333333,0.0,0.0,0,0.38403368326667076,1.8461925530333094,2.1810709476333767,0.16666666666666666,0.16666666666666666,1.4333333333333333,0.6977262484038605
fc_floor020__conditioned_p10_f075,30,30,0.9333333333333333,0.6065242219908654,0.3505393629024897,0.37050174841939726,0.6065242219908654,0.25598485908837576,0.2689908209652259,0.22361083931151418,0.56678688739472,0.8553032863154701,0.6825619162971517,0.6502123356249444,0.14920423300966282,0.6329823975348515,0.03333333333333333,0.0,0.6333333333333333,0,0.38403368326667076,1.6985630108999128,2.182633704966732,0.0,0.0,0.0,0.6968198432216908
rg_gamma65_divisor6__conditioned_p10_f025,30,30,0.9333333333333333,0.6058479141819394,0.2951663658475713,0.3239878990964128,0.6058479141819394,0.3106815483343681,0.33043557118411415,0.18065640484058154,0.5630879146854947,0.8545658575630497,0.6893195028930545,0.6522382782499939,0.1540527877059611,0.6321911325084649,0.03333333333333333,0.0,0.0,0,0.38064539973343015,0.055651914333278305,2.1883045007668596,0.0,0.0,0.0,0.8676980169236423
rg_gamma65_recovery__conditioned_p10_f025,30,30,0.9333333333333333,0.6056828567596887,0.2949923755330921,0.3238461011342386,0.6056828567596887,0.31069048122659676,0.3305311894299333,0.18053394880747398,0.5630247320183062,0.8536979596854114,0.6884564380987878,0.6521531227202495,0.15416455411306118,0.6321809833967471,0.03333333333333333,0.0,0.0,0,0.38064539973343015,0.08512741476668756,2.1785885905334,0.16666666666666666,0.13333333333333333,3.3,0.868321088832685
rg_gamma65_current__conditioned_p10_f025,30,30,0.9333333333333333,0.6058062418035705,0.2949744298699994,0.3238461011342386,0.6058062418035705,0.3108318119335712,0.3305311894299333,0.18051064914179574,0.5629661474023605,0.8545010881219075,0.6893650392864428,0.6521531227202495,0.154047242067506,0.632153621543854,0.03333333333333333,0.0,0.0,0,0.38064539973343015,0.05609858653336535,2.178365419533308,0.0,0.0,0.0,0.8678340000779248
rg_gamma65_divisor8__conditioned_p10_f025,30,30,0.9333333333333333,0.6057043023446546,0.294486603280578,0.3234846037854163,0.6057043023446546,0.3112176990640766,0.33054935161283594,0.18014179430321287,0.5626795699898295,0.8543476791772447,0.689485372302214,0.6521148861746138,0.15405510282896168,0.6320508015041588,0.03333333333333333,0.0,0.0,0,0.38064539973343015,0.056009727999905105,2.185227211933276,0.0,0.0,0.0,0.8681321897131237
rg_gamma65_relax090__conditioned_p10_f025,30,30,0.9333333333333333,0.6054575918349773,0.30133694651330395,0.3308777090398439,0.6054575918349773,0.3041206453216732,0.32295247662032156,0.18605463627563526,0.5734668545136028,0.8452064529921568,0.6772026555012031,0.6559045746548717,0.15447736658119357,0.6318737456000502,0.03333333333333333,0.0,0.0,0,0.38064539973343015,0.05808393693343229,2.1844563220666564,0.0,0.0,0.0,0.8652319983068695
rg_gamma65_relax090__conditioned_p10_f050,30,30,0.9333333333333333,0.6040645021109554,0.30133694651330395,0.3308777090398439,0.6040645021109554,0.3027275555976515,0.3206204187617252,0.18605463627563526,0.5626366395156649,0.8452064529921568,0.6889518557608245,0.6574981710968396,0.15471388499056438,0.6305000144735989,0.03333333333333333,0.0,0.0,0,0.38064539973343015,0.05808393693343229,2.1854232170334096,0.0,0.0,0.0,0.7908212065685741
rg_gamma65_divisor6__conditioned_p10_f050,30,30,0.9333333333333333,0.6039485866200651,0.2951663658475713,0.3239878990964128,0.6039485866200651,0.30878222077249373,0.32755514401561703,0.18065640484058154,0.5521586470820858,0.8545658575630497,0.7009357055069195,0.6525640238652537,0.15415005140607593,0.6302859119067199,0.03333333333333333,0.0,0.0,0,0.38064539973343015,0.055651914333278305,2.183756537099998,0.0,0.0,0.0,0.7934377970093974
rg_gamma65_recovery__conditioned_p10_f050,30,30,0.9333333333333333,0.6038031225455264,0.2949923755330921,0.3238461011342386,0.6038031225455264,0.3088107470124343,0.3276337411155854,0.18053394880747398,0.5521111312482408,0.8536979596854114,0.7001187059694195,0.652434211560394,0.15424593606037584,0.6302724237685563,0.03333333333333333,0.0,0.0,0,0.38064539973343015,0.08512741476668756,2.1712159225665952,0.16666666666666666,0.13333333333333333,3.3,0.7960794773340795
rg_gamma65_current__conditioned_p10_f050,30,30,0.9333333333333333,0.6039125702792095,0.2949744298699994,0.3238461011342386,0.6039125702792095,0.30893814040921014,0.3276337411155854,0.18051064914179574,0.5520573647150687,0.8545010881219075,0.7009753733622016,0.652434211560394,0.1541423443672634,0.6302509362063199,0.03333333333333333,0.0,0.0,0,0.38064539973343015,0.05609858653336535,2.174684046100007,0.0,0.0,0.0,0.7936565950009501
rg_gamma65_divisor8__conditioned_p10_f050,30,30,0.9333333333333333,0.6038325630848084,0.294486603280578,0.3234846037854163,0.6038325630848084,0.30934595980423046,0.32766381199931793,0.18014179430321287,0.5518191201855249,0.8543476791772447,0.7011030409822572,0.6523956792268706,0.1541493237765907,0.6301717541894112,0.03333333333333333,0.0,0.0,0,0.38064539973343015,0.056009727999905105,2.180266251966638,0.0,0.0,0.0,0.7940766656129502
fc_floor024__conditioned_p10_f050,30,30,0.9333333333333333,0.6033926909686155,0.35325279533457876,0.3776145831366283,0.6033926909686155,0.25013989563403677,0.26218760868410906,0.22705903680983,0.5823298498766195,0.839442299931378,0.6548333066030516,0.64664660409581,0.14880027971572046,0.6296112422736762,0.03333333333333333,0.0,0.26666666666666666,0,0.38403368326667076,1.7044411996665683,2.1765690525665375,0.0,0.0,0.0,0.7701680800232495
fc_affinity_floor024_only__conditioned_p10_f050,30,30,0.9333333333333333,0.6033901443717196,0.3532971610781159,0.3776402183483776,0.6033901443717196,0.2500929832936039,0.26218760868410906,0.22709622135194177,0.5823358362867435,0.8394484714677859,0.6548231086098528,0.64664660409581,0.14879933559228722,0.6296085137770019,0.03333333333333333,0.0,0.7333333333333333,0,0.38403368326667076,1.7481587134333647,2.1861076124332612,0.0,0.0,0.0,0.7700946068352668
