reference,variant,paired_images,mean_dice_delta,median_dice_delta,improved_gt_0_01,worsened_lt_minus_0_01
rg_gamma55_current__current_c3_d2,rg_gamma65_floor065__current_c3_d2,30,0.003101278432593705,0.0010136955687080618,6,2
rg_gamma55_current__current_c3_d2,fc_current__current_c3_d2,30,0.002482363129919925,-0.002429362890164488,8,10
rg_gamma55_current__current_c3_d2,fc_candidate024_only__current_c3_d2,30,0.00247934026152644,-0.0024502028894745065,8,10
rg_gamma55_current__current_c3_d2,fc_affinity_floor024_only__current_c3_d2,30,0.0020458945480365865,-0.0012028370475305472,6,9
rg_gamma55_current__current_c3_d2,fc_floor024__current_c3_d2,30,0.0020383995563329556,-0.0011775916319046176,6,9
rg_gamma55_current__current_c3_d2,fc_alpha017__current_c3_d2,30,0.0005847462257378532,-0.0035504118823802555,8,11
rg_gamma55_current__current_c3_d2,rg_gamma65_floor090__conditioned_p10_f025,30,-0.002315309424864605,0.0003028980512338464,8,12
rg_gamma55_current__current_c3_d2,rg_gamma65_floor090__current_c3_d2,30,-0.003563939392933202,-0.003467732828450476,7,12
rg_gamma55_current__current_c3_d2,rg_gamma65_floor090__conditioned_p10_f050,30,-0.005142720836374761,-0.0004340054811690086,8,12
rg_gamma55_current__current_c3_d2,rg_gamma65_floor090__conditioned_p10_f075,30,-0.009258111343338739,-0.008211376350601707,7,14
rg_gamma55_current__current_c3_d2,rg_gamma65_window3__current_c3_d2,30,-0.12143941602322608,-0.08764769435419245,3,24
rg_gamma55_current__current_c3_d2,rg_gamma65_window3__conditioned_p10_f025,30,-0.12339041286915206,-0.09012851904948144,3,24
rg_gamma55_current__current_c3_d2,rg_gamma65_window3__conditioned_p10_f050,30,-0.12733777053992298,-0.09585604493486144,3,24
rg_gamma55_current__current_c3_d2,rg_gamma65_window3__conditioned_p10_f075,30,-0.13196296629495533,-0.10239112146512791,2,24
