split_name,batch_number,total_batches,num_images,first_img_id,last_img_id,result_file,started_at,finished_at,duration_seconds,duration_minutes,duration_hours
train,1,5,6,28,428,ostios_train_lote_1_summary.csv,2026-07-01T15:06:02,2026-07-01T15:14:53,530.3407807350159,8.839013012250264,0.1473168835375044
train,2,5,6,752,836,ostios_train_lote_2_summary.csv,2026-07-01T15:14:53,2026-07-01T15:21:15,382.2661347389221,6.371102245648702,0.1061850374274783
train,3,5,6,603,793,ostios_train_lote_3_summary.csv,2026-07-01T15:21:15,2026-07-01T15:27:51,396.3359215259552,6.605598692099253,0.1100933115349875
train,4,5,6,550,887,ostios_train_lote_4_summary.csv,2026-07-01T15:27:51,2026-07-01T15:34:47,415.2971565723419,6.921619276205699,0.1153603212700949
train,5,5,6,175,344,ostios_train_lote_5_summary.csv,2026-07-01T15:34:47,2026-07-01T15:42:07,440.0886244773865,7.334810407956441,0.12224684013260735
