ostia_success,images,observed_min_radius_mm,median_p10_radius_mm,median_radius_mm,median_p90_radius_mm,observed_max_radius_mm,mean_radius_std_mm,median_max_step_change_mm
failure,11,11.4609375,13.55296875,15.43115234375,16.541986607142857,23.6015625,1.3792507808991723,4.96875
success,49,11.4609375,13.359375,15.5859375,16.7475,22.240234375,1.2939966147347808,2.953125
