ostia_success,n_images,mean_image_slices,mean_aorta_circles,median_aorta_circles,mean_circle_coverage,mean_detected_circle_coverage,median_radius_mm,mean_radius_std_mm,median_max_radius_jump_mm,mean_lower_bound_fraction,mean_upper_bound_fraction,mean_hough_accumulator
failure,11,251.45454545454547,106.27272727272727,98.0,0.41526198624160704,0.41526198624160704,15.43115234375,1.3792507808991723,4.96875,0.030763186905107466,0.0,0.41801384669679575
success,49,257.7959183673469,105.46938775510205,100.0,0.4086013976771006,0.4086013976771006,15.5859375,1.2939966147347808,2.953125,0.029730276677336617,0.0003711802181189918,0.44732196276109515
