,variant_min_threshold_hu,dice_delta,threshold_voxel_delta,lcc_voxel_delta
variant_min_threshold_hu,1.0,-0.4025170692531236,-0.9055392424685839,-0.8914148847381075
dice_delta,-0.4025170692531236,1.0,0.3704368654230638,0.33835898462993996
threshold_voxel_delta,-0.9055392424685839,0.3704368654230638,1.0,0.9703424314350061
lcc_voxel_delta,-0.8914148847381075,0.33835898462993996,0.9703424314350061,1.0
