variant,n_images,mean_fixed_control_dice,mean_variant_dice,mean_dice_delta_vs_fixed_control,median_dice_delta_vs_fixed_control,min_dice_delta_vs_fixed_control,max_dice_delta_vs_fixed_control,improved_n,worse_n,improved_ge_0_02_n,worse_le_minus_0_02_n,fixed_control_ostia_success_rate,variant_ostia_success_rate,ostia_status_changed_n,mean_variant_min_threshold_hu,mean_threshold_delta_hu_vs_fixed_control,mean_threshold_voxel_delta_vs_fixed_control,mean_lcc_voxel_delta_vs_fixed_control
percentile_p10p0,30,0.6063899178387462,0.633823571577418,0.02743365373867173,0.005000110837341976,-0.00279926462705532,0.23912062103503318,23,7,5,0,0.9,0.9333333333333333,1,-115.88333333333334,184.11666666666667,-859647.8333333334,-900783.4333333333
object_relative_p10p0,30,0.6063899178387462,0.6335973386028034,0.02720742076405717,0.004988932529708001,-0.00279926462705532,0.23913137433384868,23,7,5,0,0.9,0.9333333333333333,1,-116.075,183.925,-855277.7666666667,-894749.9
percentile_p5p0,30,0.6063899178387462,0.6268724221947891,0.020482504356042822,0.0034539456611145103,-0.0032648703702017334,0.2348709352173633,22,8,4,0,0.9,0.9333333333333333,1,-149.88333333333333,150.11666666666667,-342491.93333333335,-320373.5333333333
object_relative_p5p0,30,0.6063899178387462,0.6268617148400456,0.020471797001299436,0.0034597854702934083,-0.0032648703702017334,0.2348811430669775,22,8,4,0,0.9,0.9333333333333333,1,-150.25,149.75,-339981.9666666667,-317892.26666666666
object_relative_p20p0,30,0.6063899178387462,0.5841768559534067,-0.022213061885339485,-0.02119216093712739,-0.2364668770385993,0.23939798001974938,9,21,5,15,0.9,0.9333333333333333,1,-78.325,221.675,-1889112.4666666666,-2484782.2666666666
percentile_p20p0,30,0.6063899178387462,0.5750987708930704,-0.031291146945675856,-0.0396886279442869,-0.2364668770385993,0.24018429624277648,7,23,4,17,0.9,0.9,2,-77.89166666666667,222.10833333333332,-1900301.7,-2501987.7666666666
