IMG_ID,fixed_control_dice,fixed_control_ostia_status,fixed_control_min_threshold_hu,fixed_control_threshold_voxel_count,fixed_control_lcc_voxel_count,original_dice,original_ostia_status,original_min_threshold_hu,original_threshold_voxel_count,original_lcc_voxel_count,variant_dice,variant_ostia_status,variant_min_threshold_hu,variant_threshold_voxel_count,variant_lcc_voxel_count,variant_lower_threshold_method,variant_lower_threshold_percentile,variant_lower_threshold_object_percentile,variant_lower_threshold_object_center_hu,variant,dice_delta,threshold_delta_hu,threshold_voxel_delta,lcc_voxel_delta,ostia_status_changed,dice_delta_vs_fixed_control,threshold_delta_hu_vs_fixed_control,threshold_voxel_delta_vs_fixed_control,lcc_voxel_delta_vs_fixed_control,ostia_status_changed_vs_fixed_control
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7110947749377968,both tolerable,-108.0,8634825,8488193,object_relative_percentile,10.0,99.5,470.75,object_relative_p10p0,0.0026640618328547,192.0,-770848,-752882,False,0.002664061832854725,192.0,-770848,-752882,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5415227304131546,both tolerable,-116.25,11587083,11481305,object_relative_percentile,10.0,99.5,489.5,object_relative_p10p0,-0.0002652113747871,183.75,-1059353,-1047136,False,-0.0002652113747871887,183.75,-1059353,-1047136,False
631,0.7243157984482905,both tolerable,-300.0,11110441,10876543,0.5032588315823934,both tolerable,-300.0,11110441,10876543,0.7282077765584318,both tolerable,-117.5,10165800,9568942,object_relative_percentile,10.0,99.5,490.5,object_relative_p10p0,0.2249489449760384,182.5,-944641,-1307601,False,0.003891978110141303,182.5,-944641,-1307601,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6584093052499214,both tolerable,-115.75,9661265,9388368,object_relative_percentile,10.0,99.5,465.25,object_relative_p10p0,0.0386946367656568,184.25,-789181,-771468,False,0.038694636765656876,184.25,-789181,-771468,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6845203548627808,both tolerable,-120.75,10997083,10561114,object_relative_percentile,10.0,99.5,488.25,object_relative_p10p0,0.0054730872040262,179.25,-913613,-1079284,False,0.0054730872040262835,179.25,-913613,-1079284,False
608,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6797755888964018,both tolerable,-123.75,8051477,7966237,object_relative_percentile,10.0,99.5,490.5,object_relative_p10p0,0.0131089222297351,176.25,-693692,-683717,False,0.013108922229735143,176.25,-693692,-683717,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.5507694813125967,both tolerable,-119.0,10330860,9967463,object_relative_percentile,10.0,99.5,493.75,object_relative_p10p0,-3.7117950987264337e-05,181.0,-829995,-842729,False,-3.7117950987264337e-05,181.0,-829995,-842729,False
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.465954398205831,both tolerable,-104.75,9212351,9013466,object_relative_percentile,10.0,99.5,496.75,object_relative_p10p0,0.0075222032481566,195.25,-775913,-775800,False,0.0075222032481566115,195.25,-775913,-775800,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7235115902205312,both tolerable,-112.0,10445840,9313077,object_relative_percentile,10.0,99.5,487.0,object_relative_p10p0,0.005079761977946,188.0,-872119,-1169367,False,0.005079761977946018,188.0,-872119,-1169367,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6309376290788931,both tolerable,-110.75,7971304,7781353,object_relative_percentile,10.0,99.5,475.75,object_relative_p10p0,0.0005775967164335,189.25,-594665,-543787,False,0.0005775967164335372,189.25,-594665,-543787,False
194,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.7986895145100936,both tolerable,-100.25,11683885,11327843,object_relative_percentile,10.0,99.5,494.25,object_relative_p10p0,0.0092116875812646,199.75,-999589,-1069281,False,0.009211687581264671,199.75,-999589,-1069281,False
305,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6912416644935365,both tolerable,-122.75,10296644,9950660,object_relative_percentile,10.0,99.5,487.75,object_relative_p10p0,0.0035641268285837,177.25,-963465,-1076056,False,0.003564126828583758,177.25,-963465,-1076056,False
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7431562481198484,both tolerable,-128.0,11368797,9977920,object_relative_percentile,10.0,99.5,494.0,object_relative_p10p0,0.0049866552920561,172.0,-952484,-930306,False,0.004986655292056108,172.0,-952484,-930306,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6219905213270143,both tolerable,-74.5,9247986,8436200,object_relative_percentile,20.0,99.5,496.0,object_relative_p20p0,-0.0489753714789473,225.5,-1884526,-2349432,False,-0.04897537147894737,225.5,-1884526,-2349432,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5619599304328773,both tolerable,-88.75,6575947,6288111,object_relative_percentile,20.0,99.5,482.75,object_relative_p20p0,0.0209133206371338,211.25,-1204826,-1355305,False,0.020913320637133803,211.25,-1204826,-1355305,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.5616534181240064,both tolerable,-82.75,8969539,7750874,object_relative_percentile,20.0,99.5,491.75,object_relative_p20p0,-0.0696536002121872,217.25,-1718445,-2687575,False,-0.06965360021218725,217.25,-1718445,-2687575,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.5775311680170873,both tolerable,-75.5,9807826,8710731,object_relative_percentile,20.0,99.5,487.5,object_relative_p20p0,-0.1073946345268255,224.5,-2023643,-2823117,False,-0.10739463452682552,224.5,-2023643,-2823117,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.5764469657094957,both tolerable,-69.0,10489374,10118781,object_relative_percentile,20.0,99.5,481.0,object_relative_p20p0,-0.0700549570689622,231.0,-2098764,-2310683,False,-0.07005495706896225,231.0,-2098764,-2310683,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.5687660668380463,both tolerable,-85.5,10417933,8666332,object_relative_percentile,20.0,99.5,492.75,object_relative_p20p0,-0.0546700339678895,214.5,-2199506,-3802473,False,-0.0546700339678895,214.5,-2199506,-3802473,False
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.6243303190581811,both tolerable,-30.0,7347843,6482172,object_relative_percentile,20.0,99.5,478.5,object_relative_p20p0,0.0387188241213746,270.0,-1269837,-1373944,False,0.03871882412137462,270.0,-1269837,-1373944,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.4106934001670844,both tolerable,-85.0,10185943,9630045,object_relative_percentile,20.0,99.5,493.25,object_relative_p20p0,-0.1619498918757457,215.0,-2152887,-2507827,False,-0.16194989187574577,215.0,-2152887,-2507827,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.6845257142857143,both tolerable,-62.75,10183622,9172582,object_relative_percentile,20.0,99.5,430.5,object_relative_p20p0,0.1283675617314805,237.25,-2312042,-2899722,False,0.12836756173148056,237.25,-2312042,-2899722,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.5994896554256237,both tolerable,-94.25,10290185,9843518,object_relative_percentile,20.0,99.5,491.25,object_relative_p20p0,0.1179399844760781,205.75,-2307704,-2616846,False,0.11793998447607812,205.75,-2307704,-2616846,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4646557256807554,found but incorrect,-98.75,9731874,9319489,object_relative_percentile,20.0,99.5,491.75,object_relative_p20p0,-0.0026931572669106,201.25,-1952701,-2186584,False,-0.0026931572669106063,201.25,-1952701,-2186584,False
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.632730165042752,both tolerable,-60.0,8993919,8260233,object_relative_percentile,20.0,99.5,493.25,object_relative_p20p0,-0.1111577743196615,240.0,-1875723,-2063949,False,-0.11115777431966156,240.0,-1875723,-2063949,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.432151403088971,found but incorrect,-65.75,7171208,6386869,object_relative_percentile,20.0,99.5,486.25,object_relative_p20p0,-0.0059833477645663,234.25,-1335890,-1877157,False,-0.005983347764566327,234.25,-1335890,-1877157,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4986880691464732,both tolerable,-82.75,10744418,10213281,object_relative_percentile,20.0,99.5,484.75,object_relative_p20p0,-0.0001106598312839,217.25,-2379386,-2747420,False,-0.00011065983128394352,217.25,-2379386,-2747420,False
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3956869097298484,both tolerable,-113.75,6625279,5739942,object_relative_percentile,20.0,99.5,453.0,object_relative_p20p0,0.2393979800197493,186.25,-1188650,-1882397,True,0.23939798001974938,186.25,-1188650,-1882397,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.6949455440536804,both tolerable,-69.75,9734169,8758279,object_relative_percentile,20.0,99.5,492.75,object_relative_p20p0,-0.0176992237648088,230.25,-2091094,-2875704,False,-0.017699223764808814,230.25,-2091094,-2875704,False
518,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.5723324705205637,both tolerable,-78.25,9111906,7921759,object_relative_percentile,20.0,99.5,490.25,object_relative_p20p0,-0.0947964390235024,221.75,-2060313,-3019003,False,-0.09479643902350243,221.75,-2060313,-3019003,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.6670158096297993,both tolerable,-82.0,7691844,7259851,object_relative_percentile,20.0,99.5,470.75,object_relative_p20p0,-0.0414149034751427,218.0,-1713829,-1981224,False,-0.04141490347514276,218.0,-1713829,-1981224,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5415975677169707,both tolerable,-96.25,10338768,9969201,object_relative_percentile,20.0,99.5,489.5,object_relative_p20p0,-0.0001903740709711,203.75,-2307668,-2559240,False,-0.00019037407097111103,203.75,-2307668,-2559240,False
631,0.7243157984482905,both tolerable,-300.0,11110441,10876543,0.5032588315823934,both tolerable,-300.0,11110441,10876543,0.6779314606207519,both tolerable,-78.75,9055728,7694272,object_relative_percentile,20.0,99.5,490.5,object_relative_p20p0,0.1746726290383585,221.25,-2054713,-3182271,False,-0.04638433782753859,221.25,-2054713,-3182271,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.61664679498098,both tolerable,-84.25,8699889,7937589,object_relative_percentile,20.0,99.5,465.25,object_relative_p20p0,-0.0030678735032845,215.75,-1750557,-2222247,False,-0.003067873503284524,215.75,-1750557,-2222247,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6543621695493086,both tolerable,-85.0,9916771,8350163,object_relative_percentile,20.0,99.5,488.25,object_relative_p20p0,-0.0246850981094459,215.0,-1993925,-3290235,False,-0.02468509810944597,215.0,-1993925,-3290235,False
608,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6674452774742871,both tolerable,-99.5,7246706,6971681,object_relative_percentile,20.0,99.5,490.5,object_relative_p20p0,0.0007786108076204,200.5,-1498463,-1678273,False,0.0007786108076204279,200.5,-1498463,-1678273,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.5517961314092723,both tolerable,-69.0,9243868,7690491,object_relative_percentile,20.0,99.5,493.75,object_relative_p20p0,0.0009895321456883,231.0,-1916987,-3119701,False,0.00098953214568831,231.0,-1916987,-3119701,False
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.2219653179190751,both tolerable,-48.25,8259028,7386700,object_relative_percentile,20.0,99.5,496.75,object_relative_p20p0,-0.2364668770385993,251.75,-1729236,-2402566,False,-0.2364668770385993,251.75,-1729236,-2402566,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.6622588674548848,both tolerable,-81.0,9420980,8068157,object_relative_percentile,20.0,99.5,487.0,object_relative_p20p0,-0.0561729607877004,219.0,-1896979,-2414287,False,-0.0561729607877004,219.0,-1896979,-2414287,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6303945826279463,both tolerable,-68.75,7216057,6878499,object_relative_percentile,20.0,99.5,475.75,object_relative_p20p0,3.4550265486821274e-05,231.25,-1349912,-1446641,False,3.4550265486821274e-05,231.25,-1349912,-1446641,False
194,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.7633718293150972,both tolerable,-56.5,10453294,9252430,object_relative_percentile,20.0,99.5,494.25,object_relative_p20p0,-0.0261059976137317,243.5,-2230180,-3144694,False,-0.02610599761373178,243.5,-2230180,-3144694,False
305,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6496453329034338,both tolerable,-92.75,9215751,8054024,object_relative_percentile,20.0,99.5,487.75,object_relative_p20p0,-0.0380322047615189,207.25,-2044358,-2972692,False,-0.03803220476151892,207.25,-2044358,-2972692,False
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7422970903522205,both tolerable,-90.75,10190651,8157967,object_relative_percentile,20.0,99.5,494.0,object_relative_p20p0,0.0041274975244282,209.25,-2130630,-2750259,False,0.004127497524428203,209.25,-2130630,-2750259,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6731322865834983,both tolerable,-147.75,10812877,10528186,object_relative_percentile,5.0,99.5,496.0,object_relative_p5p0,0.0021663937775366,152.25,-319635,-257446,False,0.0021663937775366904,152.25,-319635,-257446,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5575329297757917,both tolerable,-169.0,7563325,7438744,object_relative_percentile,5.0,99.5,482.75,object_relative_p5p0,0.0164863199800482,131.0,-217448,-204672,False,0.016486319980048236,131.0,-217448,-204672,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.6435417281038042,both tolerable,-159.25,10398344,10200893,object_relative_percentile,5.0,99.5,491.75,object_relative_p5p0,0.0122347097676105,140.75,-289640,-237556,False,0.012234709767610541,140.75,-289640,-237556,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6915527381043306,both tolerable,-140.5,11457622,11214381,object_relative_percentile,5.0,99.5,487.5,object_relative_p5p0,0.0066269355604178,159.5,-373847,-319467,False,0.006626935560417824,159.5,-373847,-319467,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.6456190509396464,both tolerable,-135.5,12197570,12047431,object_relative_percentile,5.0,99.5,481.0,object_relative_p5p0,-0.0008828718388115,164.5,-390568,-382033,False,-0.0008828718388115275,164.5,-390568,-382033,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6272283178597918,both tolerable,-164.0,12202381,12082369,object_relative_percentile,5.0,99.5,492.75,object_relative_p5p0,0.003792217053856,136.0,-415058,-386436,False,0.0037922170538560174,136.0,-415058,-386436,False
