variant_label,threshold_mode,artery_method,n_images,ostia_detected_rate,ostia_success_rate,both_correct_n,both_tolerable_n,found_wrong_n,not_found_or_error_n,mean_dice,median_dice,mean_dice_success_ostia
Fuzzy threshold + RG,fuzzy,rg,270,0.9925925925925926,0.825925925925926,22,201,45,2,0.5828666632922396,0.6484446459717768,0.6402197461765996
Fuzzy threshold + FC,fuzzy,fc,270,0.9925925925925926,0.825925925925926,22,201,45,2,0.5569332684284112,0.6337317239698137,0.6123429797950733
Normal threshold + RG,normal,rg,270,0.9925925925925926,0.8148148148148148,22,198,48,2,0.575522676252918,0.6420166658139919,0.6438440945004562
Normal threshold + FC,normal,fc,270,0.9925925925925926,0.8148148148148148,22,198,48,2,0.5535464446440691,0.6289640877954373,0.6149410853951205
