IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,min_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
129,0.3279778472227165,107142,region_growing,,,,,normal,-580.25,object_relative_percentile,5.0,99.5,492.0,12419699,12091777,yes,both tolerable,yes,no,,,no,yes,no,no,2.23828125,0.5,"(96, 156, 163)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
518,0.5659193996976088,31566,region_growing,,,,,normal,-595.0,object_relative_percentile,5.0,99.5,489.25,11819928,11414941,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8532541254157887,"(108, 162, 164)","(126, 128, 193)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
793,0.7144263054301262,19626,region_growing,,,,,normal,-615.0,object_relative_percentile,5.0,99.5,469.0,10199582,10009654,yes,both tolerable,yes,no,,,no,yes,no,no,0.8437861682062879,2.7741306352170945,"(97, 148, 141)","(109, 116, 181)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
550,0.5430034486362211,11263,region_growing,,,,,normal,-637.5,object_relative_percentile,5.0,99.5,488.5,13752675,13418095,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.6331862610496235,"(97, 158, 200)","(113, 127, 211)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
631,0.7157974619503352,25450,region_growing,,,,,normal,-533.5,object_relative_percentile,5.0,99.5,489.75,11537074,11220977,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.113000238656758,"(94, 132, 153)","(123, 95, 199)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
330,0.4488704628141128,84930,region_growing,,,,,normal,-645.0,object_relative_percentile,5.0,99.5,461.25,11469003,10857893,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.974511812933532,"(106, 141, 194)","(119, 113, 222)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
90,0.6659691918009994,34335,region_growing,,,,,normal,-571.5,object_relative_percentile,5.0,99.5,487.0,12437425,11990648,yes,both tolerable,yes,no,,,no,yes,no,no,0.66015625,0.5,"(88, 157, 157)","(113, 120, 186)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
608,0.6421694915254237,36873,region_growing,,,,,normal,-578.0,object_relative_percentile,5.0,99.5,489.75,9097806,8926269,yes,both tolerable,yes,no,,,no,yes,no,no,1.3680800657879093,0.5,"(92, 126, 142)","(97, 80, 173)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
887,0.547085201793722,16588,region_growing,,,,,normal,-641.25,object_relative_percentile,5.0,99.5,492.75,12430454,12034775,yes,both tolerable,yes,no,,,no,yes,no,yes,0.7890625,0.0,"(106, 164, 190)","(128, 128, 208)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
175,0.4466750690193254,42766,region_growing,,,,,normal,-640.5,object_relative_percentile,5.0,99.5,496.25,10942935,10488371,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(98, 197, 169)","(131, 162, 191)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
760,0.7036355648305783,37583,region_growing,,,,,normal,-586.5,object_relative_percentile,5.0,99.5,485.5,11882107,11030305,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.0541954870895625,"(88, 165, 197)","(107, 127, 225)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
696,0.6262062726176115,19709,region_growing,,,,,normal,-665.5,object_relative_percentile,5.0,99.5,470.25,10004844,9675819,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.739843048383334,"(99, 137, 163)","(122, 103, 195)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
194,0.7932764596951615,33276,region_growing,,,,,normal,-638.75,object_relative_percentile,5.0,99.5,493.25,13996842,13442163,yes,both tolerable,yes,no,,,no,yes,no,no,0.8095744354916121,1.345667690480501,"(89, 155, 168)","(122, 122, 211)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
305,0.6461184511021264,32933,region_growing,,,,,normal,-411.0,object_relative_percentile,5.0,99.5,487.0,11400201,11138562,yes,both tolerable,yes,no,,,no,yes,no,yes,1.8419615266408251,0.0,"(98, 162, 177)","(119, 129, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
344,0.72093057848781,35127,region_growing,,,,,normal,-631.0,object_relative_percentile,5.0,99.5,493.25,13493165,12983768,yes,both tolerable,yes,no,,,no,yes,no,yes,2.4154905767902517,0.0,"(97, 162, 176)","(115, 134, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
