IMG_ID,pipeline_mode,mid_downscale_factors,high_downscale_factors,artery_segmentation_method,mid_ostia_success,high_ostia_success,segmentation_attempted,dice_artery,dice_artery_before_morphology,dice_artery_after_morphology,dice_artery_morphology_delta,error_stage,error,mid_preprocessing_seconds,mid_image_shape,mid_min_threshold,mid_max_threshold,mid_threshold_voxels,mid_lcc_voxels,mid_aorta_circle_count,mid_aorta_detected_circle_count,mid_aorta_interpolated_circle_count,mid_aorta_circle_first_slice,mid_aorta_circle_last_slice,mid_aorta_circle_coverage,mid_aorta_recovered_initialization,mid_aorta_mask_voxels,mid_aorta_ostia_seconds,mid_ostia_left,mid_ostia_right,mid_ostia_pair_complete,mid_ostia_status,mid_both_correct,mid_both_tolerable,mid_left_intersects,mid_right_intersects,mid_left_dist_mm,mid_right_dist_mm,high_preprocessing_seconds,high_image_shape,high_min_threshold,high_max_threshold,high_threshold_voxels,high_lcc_voxels,high_label_artery_voxels,high_ostia_left,high_ostia_right,ostia_coordinate_scale,high_ostia_pair_complete,high_ostia_status,high_both_correct,high_both_tolerable,high_left_intersects,high_right_intersects,high_left_dist_mm,high_right_dist_mm,high_artery_segmentation_seconds,artery_voxels_before_morphology,artery_voxels_after_morphology,artery_voxels,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,total_seconds,split
28,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.5985538562560606,0.34229780174201574,0.5985538562560606,0.2562560545140449,,,3.80197059099919,"[256, 256, 275]",-300.0,1085.75,11168529,10815776,120,120,0,155,274,0.43636363636363634,False,193199,40.60057775400037,"[103, 144, 181]","[128, 115, 217]",True,both_tolerable,False,True,False,False,1.0737001589130926,0.8375058302035873,5.94652086699989,"[512, 512, 275]",-300.0,1097.0,44691979,43281919,97134,"[206, 288, 181]","[256, 230, 217]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.310382406315519,0.8375058302035873,50.47095307299969,23416,164804,164804,,,,,111.2766526079995,train
380,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.5437944427845832,0.2510261089358586,0.5437944427845832,0.29276833384872464,,,2.14910320799936,"[256, 256, 206]",-300.0,1052.25,7807686,7670241,77,77,0,129,205,0.3737864077669903,False,208958,29.902821931999824,"[93, 120, 120]","[113, 89, 166]",True,both_tolerable,False,True,False,False,2.3495403733114086,1.739843048383334,3.1852687359996708,"[512, 512, 206]",-300.0,1060.0,31241428,30693638,142807,"[186, 240, 120]","[226, 178, 166]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,2.2705638853963164,1.6603504022500652,38.32931182700031,26522,191893,191893,,,,,82.23837473700041,train
854,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.5616063234554013,0.30467128314983644,0.5616063234554013,0.25693504030556485,,,3.129368090999378,"[256, 256, 275]",-300.0,953.25,10723965,10472395,138,138,0,137,274,0.5018181818181818,False,255339,55.12314840399995,"[99, 151, 157]","[124, 117, 185]",True,both_tolerable,False,True,False,False,1.2734375,0.63671875,7.605727269000454,"[512, 512, 275]",-300.0,966.0,42918311,41917182,97828,"[198, 302, 157]","[248, 234, 185]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.4046336739722,0.4502281458336221,52.7424111979999,22610,172404,172404,,,,,130.92598812100005,train
937,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.5865952216219399,0.334125033218177,0.5865952216219399,0.2524701884037629,,,2.9201008370000636,"[256, 256, 275]",-300.0,969.75,11867469,11567669,82,82,0,193,274,0.29818181818181816,False,128721,27.01282685299975,"[106, 170, 209]","[115, 129, 227]",True,both_tolerable,False,True,False,False,1.390625,2.160392872438078,5.237504701999569,"[512, 512, 275]",-300.0,981.0,47492358,46294496,97346,"[212, 340, 209]","[230, 258, 227]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,False,False,1.5547660156053225,1.6035096775925028,51.831715366000026,23070,174378,174378,,,,,98.78163128699998,train
315,mid_ostia_high_artery,"[2, 2, 1]","[1, 1, 1]",region_growing,True,True,True,0.6011645150034892,0.3357884974664319,0.6011645150034892,0.2653760175370573,,,2.9304980309998427,"[256, 256, 275]",-300.0,893.25,12624120,12464696,134,134,0,141,274,0.48727272727272725,False,388346,48.44171614100014,"[100, 179, 144]","[115, 146, 217]",True,both_tolerable,False,True,True,False,0.0,0.5,4.4720093840005575,"[512, 512, 275]",-300.0,906.0,50514206,49872769,117737,"[200, 358, 144]","[230, 292, 217]","[2.0, 2.0, 1.0]",True,both_tolerable,False,True,True,False,0.0,0.5,52.09596613299982,31065,249111,249111,,,,,112.69484356800058,train
