variant,n_images,pearson_image_slices_vs_aorta_circle_count,spearman_image_slices_vs_aorta_circle_count,pearson_image_slices_vs_aorta_detected_circle_count,spearman_image_slices_vs_aorta_detected_circle_count,pearson_image_slices_vs_aorta_circle_coverage,spearman_image_slices_vs_aorta_circle_coverage,pearson_image_slices_vs_aorta_detected_circle_coverage,spearman_image_slices_vs_aorta_detected_circle_coverage,pearson_image_slices_vs_aorta_missing_circle_slices,spearman_image_slices_vs_aorta_missing_circle_slices
lcc_per_slice_out_miss_miss2_cand_closest,30,0.18311652536977124,0.21571003389158674,0.19624854935806982,0.2277202045061573,-0.16580498526079504,-0.12527871364780388,-0.1569737734725288,-0.12170304950995389,0.38037341062714386,0.30331948084806776
lcc_per_slice_out_miss_miss2_cand_score,30,0.37784794667583094,0.45131189126778687,0.3906647859060495,0.46293630677698944,0.0658524251998332,0.06844364133185574,0.07770000152603741,0.07775894634894324,0.20469327186125758,0.16533463675522816
lcc_per_slice_out_miss_miss3_cand_closest,30,0.01377152248008244,0.07788907241701393,0.028227541311990654,0.0591719709931623,-0.3437076351241463,-0.23128976026549525,-0.33530851542339085,-0.21519336315172666,0.4062584548605725,0.3241553248616244
lcc_per_slice_out_stop_miss5_cand_closest,30,0.5702759698170722,0.5711795029153273,0.5702759698170722,0.5711795029153273,0.1832338896621304,0.354217213153919,0.18323388966213053,0.354217213153919,0.476492393896322,0.4192533163552634
lcc_per_volume_out_miss_miss2_cand_score,30,0.23108354405062037,0.28239198685429134,0.24446793579054488,0.29023984565853006,-0.08922475627203558,-0.07620893412936297,-0.0760150995172579,-0.07620893412936297,0.32144383377480845,0.2630146776007947
lcc_per_volume_out_stop_miss5_cand_closest,30,0.6714154377857972,0.7007615080063587,0.6714154377857972,0.7007615080063587,0.3720405792985441,0.3996448172817781,0.3720405792985441,0.3996448172817781,0.42865716100442425,0.4236002734054592
